"Time","control-project-56b89bcb95-qvbb6 / app-namespace / PKG","control-project-56b89bcb95-qvbb6 / app-namespace / DRAM","control-project-56b89bcb95-qvbb6 / app-namespace / OTHER","control-project-56b89bcb95-qvbb6 / app-namespace / GPU"
2025-02-26 15:37:20.000,0.627,0,2.23,0
2025-02-26 15:37:21.000,0.0433,0,0.814,0
2025-02-26 15:37:22.000,0.0433,0,0.814,0
2025-02-26 15:37:23.000,0.0433,0,0.814,0
2025-02-26 15:37:24.000,0.0433,0,0.814,0
2025-02-26 15:37:25.000,0.0433,0,0.814,0
2025-02-26 15:37:26.000,0.0433,0,0.814,0
2025-02-26 15:37:27.000,0.0433,0,0.814,0
2025-02-26 15:37:28.000,0.0433,0,0.814,0
2025-02-26 15:37:29.000,0.0433,0,0.814,0
2025-02-26 15:37:30.000,0.0433,0,0.814,0
2025-02-26 15:37:31.000,0.0433,0,0.814,0
2025-02-26 15:37:32.000,0.0433,0,0.814,0
2025-02-26 15:37:33.000,0.0433,0,0.814,0
2025-02-26 15:37:34.000,0.0433,0,0.814,0
2025-02-26 15:37:35.000,0.0433,0,0.814,0
2025-02-26 15:37:36.000,0.0433,0,0.814,0
2025-02-26 15:37:37.000,0.0433,0,0.814,0
2025-02-26 15:37:38.000,0.0433,0,0.814,0
2025-02-26 15:37:39.000,0.0433,0,0.814,0
2025-02-26 15:37:40.000,0.0433,0,0.814,0
2025-02-26 15:37:41.000,0.0433,0,0.814,0
2025-02-26 15:37:42.000,0.0433,0,0.814,0
2025-02-26 15:37:43.000,0.0433,0,0.814,0
2025-02-26 15:37:44.000,0.0433,0,0.814,0
2025-02-26 15:37:45.000,0.0433,0,0.814,0
2025-02-26 15:37:46.000,0.0433,0,0.814,0
2025-02-26 15:37:47.000,0.0433,0,0.814,0
2025-02-26 15:37:48.000,0.0433,0,0.814,0
2025-02-26 15:37:49.000,0.0433,0,0.814,0
2025-02-26 15:37:50.000,0.0433,0,0.814,0
2025-02-26 15:37:51.000,0.635,0,2.74,0
2025-02-26 15:37:52.000,0.635,0,2.74,0
2025-02-26 15:37:53.000,0.635,0,2.74,0
2025-02-26 15:37:54.000,0.635,0,2.74,0
2025-02-26 15:37:55.000,0.635,0,2.74,0
2025-02-26 15:37:56.000,0.635,0,2.74,0
2025-02-26 15:37:57.000,0.635,0,2.74,0
