"Time","control-project-56b89bcb95-qvbb6 / app-namespace / PKG","control-project-56b89bcb95-qvbb6 / app-namespace / DRAM","control-project-56b89bcb95-qvbb6 / app-namespace / OTHER","control-project-56b89bcb95-qvbb6 / app-namespace / GPU"
2025-02-26 15:02:17,0.0485,0,0.926,0
2025-02-26 15:02:18,0.0485,0,0.926,0
2025-02-26 15:02:19,0.0485,0,0.926,0
2025-02-26 15:02:20,0.0485,0,0.926,0
2025-02-26 15:02:21,0.0433,0,0.800,0
2025-02-26 15:02:22,0.0433,0,0.800,0
2025-02-26 15:02:23,0.0433,0,0.800,0
2025-02-26 15:02:24,0.0433,0,0.800,0
2025-02-26 15:02:25,0.0433,0,0.800,0
2025-02-26 15:02:26,0.0433,0,0.800,0
2025-02-26 15:02:27,0.0433,0,0.800,0
2025-02-26 15:02:28,0.0433,0,0.800,0
2025-02-26 15:02:29,0.0433,0,0.800,0
2025-02-26 15:02:30,0.0433,0,0.800,0
2025-02-26 15:02:31,0.0433,0,0.800,0
2025-02-26 15:02:32,0.0433,0,0.800,0
2025-02-26 15:02:33,0.0433,0,0.800,0
2025-02-26 15:02:34,0.0433,0,0.800,0
2025-02-26 15:02:35,0.0433,0,0.800,0
2025-02-26 15:02:36,0.0433,0,0.800,0
2025-02-26 15:02:37,0.0433,0,0.800,0
2025-02-26 15:02:38,0.0433,0,0.800,0
2025-02-26 15:02:39,0.0433,0,0.800,0
2025-02-26 15:02:40,0.0433,0,0.800,0
2025-02-26 15:02:41,0.0433,0,0.800,0
2025-02-26 15:02:42,0.0433,0,0.800,0
2025-02-26 15:02:43,0.0433,0,0.800,0
2025-02-26 15:02:44,0.0433,0,0.800,0
2025-02-26 15:02:45,0.0433,0,0.800,0
2025-02-26 15:02:46,0.0433,0,0.800,0
2025-02-26 15:02:47,0.0433,0,0.800,0
2025-02-26 15:02:48,0.0433,0,0.800,0
2025-02-26 15:02:49,0.0433,0,0.800,0
2025-02-26 15:02:50,0.0433,0,0.800,0
2025-02-26 15:02:51,0.484,0,3.60,0
2025-02-26 15:02:52,0.484,0,3.60,0
