"Time","control-project-56b89bcb95-wj5t5 / app-namespace / PKG","control-project-56b89bcb95-wj5t5 / app-namespace / DRAM","control-project-56b89bcb95-wj5t5 / app-namespace / OTHER","control-project-56b89bcb95-wj5t5 / app-namespace / GPU"
2025-02-28 10:30:23.000,0.0477,0,1.01,0
2025-02-28 10:30:24.000,0.0477,0,1.01,0
2025-02-28 10:30:25.000,0.0477,0,1.01,0
2025-02-28 10:30:26.000,0.0477,0,1.01,0
2025-02-28 10:30:27.000,0.0477,0,1.01,0
2025-02-28 10:30:28.000,0.0477,0,1.01,0
2025-02-28 10:30:29.000,0.0477,0,1.01,0
2025-02-28 10:30:30.000,0.0477,0,1.01,0
2025-02-28 10:30:31.000,0.0477,0,1.01,0
2025-02-28 10:30:32.000,0.0477,0,1.01,0
2025-02-28 10:30:33.000,0.0477,0,1.01,0
2025-02-28 10:30:34.000,0.0477,0,1.01,0
2025-02-28 10:30:35.000,0.0477,0,1.01,0
2025-02-28 10:30:36.000,0.310,0,2.31,0
2025-02-28 10:30:37.000,0.310,0,2.31,0
2025-02-28 10:30:38.000,0.310,0,2.31,0
2025-02-28 10:30:39.000,0.310,0,2.31,0
2025-02-28 10:30:40.000,0.310,0,2.31,0
2025-02-28 10:30:41.000,0.310,0,2.31,0
2025-02-28 10:30:42.000,0.310,0,2.31,0
2025-02-28 10:30:43.000,0.310,0,2.31,0
