"Time","control-project-56b89bcb95-wj5t5 / app-namespace / PKG","control-project-56b89bcb95-wj5t5 / app-namespace / DRAM","control-project-56b89bcb95-wj5t5 / app-namespace / OTHER","control-project-56b89bcb95-wj5t5 / app-namespace / GPU"
2025-02-28 10:34:20,0.0429,0,0.916,0
2025-02-28 10:34:21,0.0429,0,0.916,0
2025-02-28 10:34:22,0.0429,0,0.916,0
2025-02-28 10:34:23,0.0429,0,0.916,0
2025-02-28 10:34:24,0.0429,0,0.916,0
2025-02-28 10:34:25,0.0429,0,0.916,0
2025-02-28 10:34:26,0.0429,0,0.916,0
2025-02-28 10:34:27,0.0429,0,0.916,0
2025-02-28 10:34:28,0.0429,0,0.916,0
2025-02-28 10:34:29,0.0429,0,0.916,0
2025-02-28 10:34:30,0.0429,0,0.916,0
2025-02-28 10:34:31,0.0429,0,0.916,0
2025-02-28 10:34:32,0.0429,0,0.916,0
2025-02-28 10:34:33,0.0429,0,0.916,0
2025-02-28 10:34:34,0.0429,0,0.916,0
2025-02-28 10:34:35,0.0429,0,0.916,0
2025-02-28 10:34:36,0.143,0,1.37,0
2025-02-28 10:34:37,0.143,0,1.37,0
2025-02-28 10:34:38,0.143,0,1.37,0
2025-02-28 10:34:39,0.143,0,1.37,0
2025-02-28 10:34:40,0.143,0,1.37,0
2025-02-28 10:34:41,0.143,0,1.37,0
2025-02-28 10:34:42,0.143,0,1.37,0
2025-02-28 10:34:43,0.143,0,1.37,0
2025-02-28 10:34:44,0.143,0,1.37,0
2025-02-28 10:34:45,0.143,0,1.37,0
2025-02-28 10:34:46,0.143,0,1.37,0
2025-02-28 10:34:47,0.143,0,1.37,0
2025-02-28 10:34:48,0.143,0,1.37,0
2025-02-28 10:34:49,0.143,0,1.37,0
2025-02-28 10:34:50,0.143,0,1.37,0
2025-02-28 10:34:51,0.143,0,1.37,0
2025-02-28 10:34:52,0.143,0,1.37,0
2025-02-28 10:34:53,0.143,0,1.37,0
2025-02-28 10:34:54,0.143,0,1.37,0
2025-02-28 10:34:55,0.143,0,1.37,0
2025-02-28 10:34:56,0.143,0,1.37,0
2025-02-28 10:34:57,0.143,0,1.37,0
2025-02-28 10:34:58,0.143,0,1.37,0
2025-02-28 10:34:59,0.143,0,1.37,0
2025-02-28 10:35:00,0.143,0,1.37,0
2025-02-28 10:35:01,0.143,0,1.37,0
2025-02-28 10:35:02,0.143,0,1.37,0
2025-02-28 10:35:03,0.143,0,1.37,0
2025-02-28 10:35:04,0.143,0,1.37,0
2025-02-28 10:35:05,0.143,0,1.37,0
2025-02-28 10:35:06,0.135,0,1.29,0
2025-02-28 10:35:07,0.135,0,1.29,0
2025-02-28 10:35:08,0.135,0,1.29,0
2025-02-28 10:35:09,0.135,0,1.29,0
2025-02-28 10:35:10,0.135,0,1.29,0
2025-02-28 10:35:11,0.135,0,1.29,0
2025-02-28 10:35:12,0.135,0,1.29,0
2025-02-28 10:35:13,0.135,0,1.29,0
2025-02-28 10:35:14,0.135,0,1.29,0
2025-02-28 10:35:15,0.135,0,1.29,0
2025-02-28 10:35:16,0.135,0,1.29,0
2025-02-28 10:35:17,0.135,0,1.29,0
2025-02-28 10:35:18,0.135,0,1.29,0
2025-02-28 10:35:19,0.135,0,1.29,0
2025-02-28 10:35:20,0.135,0,1.29,0
2025-02-28 10:35:21,0.135,0,1.29,0
2025-02-28 10:35:22,0.135,0,1.29,0
2025-02-28 10:35:23,0.135,0,1.29,0
2025-02-28 10:35:24,0.135,0,1.29,0
2025-02-28 10:35:25,0.135,0,1.29,0
2025-02-28 10:35:26,0.135,0,1.29,0
2025-02-28 10:35:27,0.135,0,1.29,0
2025-02-28 10:35:28,0.135,0,1.29,0
2025-02-28 10:35:29,0.135,0,1.29,0
2025-02-28 10:35:30,0.135,0,1.29,0
2025-02-28 10:35:31,0.135,0,1.29,0
2025-02-28 10:35:32,0.135,0,1.29,0
2025-02-28 10:35:33,0.135,0,1.29,0
2025-02-28 10:35:34,0.135,0,1.29,0
2025-02-28 10:35:35,0.135,0,1.29,0
2025-02-28 10:35:36,0.0965,0,1.13,0
2025-02-28 10:35:37,0.0965,0,1.13,0
2025-02-28 10:35:38,0.0965,0,1.13,0
2025-02-28 10:35:39,0.0965,0,1.13,0
2025-02-28 10:35:40,0.0965,0,1.13,0
2025-02-28 10:35:41,0.0965,0,1.13,0
2025-02-28 10:35:42,0.0965,0,1.13,0
2025-02-28 10:35:43,0.0965,0,1.13,0
2025-02-28 10:35:44,0.0965,0,1.13,0
2025-02-28 10:35:45,0.0965,0,1.13,0
