metric_name,timestamp,metric_value,check,error,error_code,expected_response,group,method,name,proto,scenario,service,status,subproto,tls_version,url,extra_tags,metadata
http_reqs,1749852742,1.000000,,,,true,,POST,http://localhost:8080/users,HTTP/1.1,default,,200,,,http://localhost:8080/users,,
http_req_duration,1749852742,77.122782,,,,true,,POST,http://localhost:8080/users,HTTP/1.1,default,,200,,,http://localhost:8080/users,,
http_req_blocked,1749852742,0.395794,,,,true,,POST,http://localhost:8080/users,HTTP/1.1,default,,200,,,http://localhost:8080/users,,
http_req_connecting,1749852742,0.248812,,,,true,,POST,http://localhost:8080/users,HTTP/1.1,default,,200,,,http://localhost:8080/users,,
http_req_tls_handshaking,1749852742,0.000000,,,,true,,POST,http://localhost:8080/users,HTTP/1.1,default,,200,,,http://localhost:8080/users,,
http_req_sending,1749852742,0.108073,,,,true,,POST,http://localhost:8080/users,HTTP/1.1,default,,200,,,http://localhost:8080/users,,
http_req_waiting,1749852742,76.874238,,,,true,,POST,http://localhost:8080/users,HTTP/1.1,default,,200,,,http://localhost:8080/users,,
http_req_receiving,1749852742,0.140471,,,,true,,POST,http://localhost:8080/users,HTTP/1.1,default,,200,,,http://localhost:8080/users,,
http_req_failed,1749852742,0.000000,,,,true,,POST,http://localhost:8080/users,HTTP/1.1,default,,200,,,http://localhost:8080/users,,
response_time,1749852742,77.122782,,,,,,,,,default,,,,,,,
reponse_size,1749852742,212.000000,,,,,,,,,default,,,,,,,
checks,1749852742,1.000000,is status 200,,,,,,,,default,,,,,,,
data_sent,1749852742,530.000000,,,,,,,,,default,,,,,,,
data_received,1749852742,621.000000,,,,,,,,,default,,,,,,,
iteration_duration,1749852742,78.231604,,,,,,,,,default,,,,,,,
iterations,1749852742,1.000000,,,,,,,,,default,,,,,,,
http_reqs,1749852742,1.000000,,,,true,,POST,http://localhost:8080/users,HTTP/1.1,default,,200,,,http://localhost:8080/users,,
http_req_duration,1749852742,59.586491,,,,true,,POST,http://localhost:8080/users,HTTP/1.1,default,,200,,,http://localhost:8080/users,,
http_req_blocked,1749852742,0.004292,,,,true,,POST,http://localhost:8080/users,HTTP/1.1,default,,200,,,http://localhost:8080/users,,
http_req_connecting,1749852742,0.000000,,,,true,,POST,http://localhost:8080/users,HTTP/1.1,default,,200,,,http://localhost:8080/users,,
http_req_tls_handshaking,1749852742,0.000000,,,,true,,POST,http://localhost:8080/users,HTTP/1.1,default,,200,,,http://localhost:8080/users,,
http_req_sending,1749852742,0.021043,,,,true,,POST,http://localhost:8080/users,HTTP/1.1,default,,200,,,http://localhost:8080/users,,
http_req_waiting,1749852742,59.464100,,,,true,,POST,http://localhost:8080/users,HTTP/1.1,default,,200,,,http://localhost:8080/users,,
http_req_receiving,1749852742,0.101348,,,,true,,POST,http://localhost:8080/users,HTTP/1.1,default,,200,,,http://localhost:8080/users,,
http_req_failed,1749852742,0.000000,,,,true,,POST,http://localhost:8080/users,HTTP/1.1,default,,200,,,http://localhost:8080/users,,
response_time,1749852742,59.586491,,,,,,,,,default,,,,,,,
reponse_size,1749852742,212.000000,,,,,,,,,default,,,,,,,
checks,1749852742,1.000000,is status 200,,,,,,,,default,,,,,,,
data_sent,1749852742,530.000000,,,,,,,,,default,,,,,,,
data_received,1749852742,621.000000,,,,,,,,,default,,,,,,,
iteration_duration,1749852742,60.071909,,,,,,,,,default,,,,,,,
iterations,1749852742,1.000000,,,,,,,,,default,,,,,,,
http_reqs,1749852742,1.000000,,,,true,,POST,http://localhost:8080/users,HTTP/1.1,default,,200,,,http://localhost:8080/users,,
http_req_duration,1749852742,87.393859,,,,true,,POST,http://localhost:8080/users,HTTP/1.1,default,,200,,,http://localhost:8080/users,,
http_req_blocked,1749852742,0.004353,,,,true,,POST,http://localhost:8080/users,HTTP/1.1,default,,200,,,http://localhost:8080/users,,
http_req_connecting,1749852742,0.000000,,,,true,,POST,http://localhost:8080/users,HTTP/1.1,default,,200,,,http://localhost:8080/users,,
http_req_tls_handshaking,1749852742,0.000000,,,,true,,POST,http://localhost:8080/users,HTTP/1.1,default,,200,,,http://localhost:8080/users,,
http_req_sending,1749852742,0.023941,,,,true,,POST,http://localhost:8080/users,HTTP/1.1,default,,200,,,http://localhost:8080/users,,
http_req_waiting,1749852742,87.288762,,,,true,,POST,http://localhost:8080/users,HTTP/1.1,default,,200,,,http://localhost:8080/users,,
http_req_receiving,1749852742,0.081156,,,,true,,POST,http://localhost:8080/users,HTTP/1.1,default,,200,,,http://localhost:8080/users,,
http_req_failed,1749852742,0.000000,,,,true,,POST,http://localhost:8080/users,HTTP/1.1,default,,200,,,http://localhost:8080/users,,
response_time,1749852742,87.393859,,,,,,,,,default,,,,,,,
reponse_size,1749852742,212.000000,,,,,,,,,default,,,,,,,
checks,1749852742,1.000000,is status 200,,,,,,,,default,,,,,,,
data_sent,1749852742,530.000000,,,,,,,,,default,,,,,,,
data_received,1749852742,621.000000,,,,,,,,,default,,,,,,,
iteration_duration,1749852742,87.673155,,,,,,,,,default,,,,,,,
iterations,1749852742,1.000000,,,,,,,,,default,,,,,,,
