"Time","control-project-56b89bcb95-xhkpw / app-namespace / PKG","control-project-56b89bcb95-xhkpw / app-namespace / DRAM","control-project-56b89bcb95-xhkpw / app-namespace / OTHER","control-project-56b89bcb95-xhkpw / app-namespace / GPU"
2025-03-01 16:57:53,0.0498,0,0.984,0
2025-03-01 16:57:54,0.0498,0,0.984,0
2025-03-01 16:57:55,0.0484,0,0.911,0
2025-03-01 16:57:56,0.0484,0,0.911,0
2025-03-01 16:57:57,0.0484,0,0.911,0
2025-03-01 16:57:58,0.0484,0,0.911,0
2025-03-01 16:57:59,0.0484,0,0.911,0
2025-03-01 16:58:00,0.0484,0,0.911,0
2025-03-01 16:58:01,0.0484,0,0.911,0
2025-03-01 16:58:02,0.0484,0,0.911,0
2025-03-01 16:58:03,0.0484,0,0.911,0
2025-03-01 16:58:04,0.0484,0,0.911,0
2025-03-01 16:58:05,0.0484,0,0.911,0
2025-03-01 16:58:06,0.0484,0,0.911,0
2025-03-01 16:58:07,0.0484,0,0.911,0
2025-03-01 16:58:08,0.0484,0,0.911,0
2025-03-01 16:58:09,0.0484,0,0.911,0
2025-03-01 16:58:10,0.0484,0,0.911,0
2025-03-01 16:58:11,0.0484,0,0.911,0
2025-03-01 16:58:12,0.0484,0,0.911,0
2025-03-01 16:58:13,0.0484,0,0.911,0
2025-03-01 16:58:14,0.0484,0,0.911,0
2025-03-01 16:58:15,0.0484,0,0.911,0
2025-03-01 16:58:16,0.0484,0,0.911,0
2025-03-01 16:58:17,0.0484,0,0.911,0
2025-03-01 16:58:18,0.0484,0,0.911,0
2025-03-01 16:58:19,0.0484,0,0.911,0
2025-03-01 16:58:20,0.0484,0,0.911,0
2025-03-01 16:58:21,0.0484,0,0.911,0
2025-03-01 16:58:22,0.0484,0,0.911,0
2025-03-01 16:58:23,0.0484,0,0.911,0
2025-03-01 16:58:24,0.0484,0,0.911,0
2025-03-01 16:58:25,1.09,0,3.23,0
2025-03-01 16:58:26,1.09,0,3.23,0
2025-03-01 16:58:27,1.09,0,3.23,0
2025-03-01 16:58:28,1.09,0,3.23,0
2025-03-01 16:58:29,1.09,0,3.23,0
2025-03-01 16:58:30,1.09,0,3.23,0
2025-03-01 16:58:31,1.09,0,3.23,0
2025-03-01 16:58:32,1.09,0,3.23,0
2025-03-01 16:58:33,1.09,0,3.23,0
2025-03-01 16:58:34,1.09,0,3.23,0
2025-03-01 16:58:35,1.09,0,3.23,0
2025-03-01 16:58:36,1.09,0,3.23,0
2025-03-01 16:58:37,1.09,0,3.23,0
2025-03-01 16:58:38,1.09,0,3.23,0
2025-03-01 16:58:39,1.09,0,3.23,0
2025-03-01 16:58:40,1.09,0,3.23,0
2025-03-01 16:58:41,1.09,0,3.23,0
2025-03-01 16:58:42,1.09,0,3.23,0
2025-03-01 16:58:43,1.09,0,3.23,0
2025-03-01 16:58:44,1.09,0,3.23,0
2025-03-01 16:58:45,1.09,0,3.23,0
2025-03-01 16:58:46,1.09,0,3.23,0
2025-03-01 16:58:47,1.09,0,3.23,0
2025-03-01 16:58:48,1.09,0,3.23,0
2025-03-01 16:58:49,1.09,0,3.23,0
2025-03-01 16:58:50,1.09,0,3.23,0
2025-03-01 16:58:51,1.09,0,3.23,0
2025-03-01 16:58:52,1.09,0,3.23,0
2025-03-01 16:58:53,1.09,0,3.23,0
2025-03-01 16:58:54,1.09,0,3.23,0
2025-03-01 16:58:55,1.19,0,3.39,0
2025-03-01 16:58:56,1.19,0,3.39,0
2025-03-01 16:58:57,1.19,0,3.39,0
2025-03-01 16:58:58,1.19,0,3.39,0
2025-03-01 16:58:59,1.19,0,3.39,0
2025-03-01 16:59:00,1.19,0,3.39,0
