"Time","PKG","DRAM","OTHER","GPU"
2025-03-01 16:46:01,0.0487,0,0.918,0
2025-03-01 16:46:02,0.0487,0,0.918,0
2025-03-01 16:46:03,0.0487,0,0.918,0
2025-03-01 16:46:04,0.0487,0,0.918,0
2025-03-01 16:46:05,0.0487,0,0.918,0
2025-03-01 16:46:06,0.0487,0,0.918,0
2025-03-01 16:46:07,0.0487,0,0.918,0
2025-03-01 16:46:08,0.0487,0,0.918,0
2025-03-01 16:46:09,0.0487,0,0.918,0
2025-03-01 16:46:10,0.0487,0,0.918,0
2025-03-01 16:46:11,0.0487,0,0.918,0
2025-03-01 16:46:12,0.0487,0,0.918,0
2025-03-01 16:46:13,0.0487,0,0.918,0
2025-03-01 16:46:14,0.0487,0,0.918,0
2025-03-01 16:46:15,0.0487,0,0.918,0
2025-03-01 16:46:16,0.0487,0,0.918,0
2025-03-01 16:46:17,0.0487,0,0.918,0
2025-03-01 16:46:18,0.0487,0,0.918,0
2025-03-01 16:46:19,0.0487,0,0.918,0
2025-03-01 16:46:20,0.0487,0,0.918,0
2025-03-01 16:46:21,0.0487,0,0.918,0
2025-03-01 16:46:22,0.0487,0,0.918,0
2025-03-01 16:46:23,0.0487,0,0.918,0
2025-03-01 16:46:24,0.0487,0,0.918,0
2025-03-01 16:46:25,0.899,0,4.46,0
2025-03-01 16:46:26,0.899,0,4.46,0
2025-03-01 16:46:27,0.899,0,4.46,0
2025-03-01 16:46:28,0.899,0,4.46,0
2025-03-01 16:46:29,0.899,0,4.46,0
2025-03-01 16:46:30,0.899,0,4.46,0
2025-03-01 16:46:31,0.899,0,4.46,0
2025-03-01 16:46:32,0.899,0,4.46,0
2025-03-01 16:46:33,0.899,0,4.46,0
2025-03-01 16:46:34,0.899,0,4.46,0
2025-03-01 16:46:35,0.899,0,4.46,0
2025-03-01 16:46:36,0.899,0,4.46,0
2025-03-01 16:46:37,0.899,0,4.46,0
2025-03-01 16:46:38,0.899,0,4.46,0
2025-03-01 16:46:39,0.899,0,4.46,0
2025-03-01 16:46:40,0.899,0,4.46,0
2025-03-01 16:46:41,0.899,0,4.46,0
2025-03-01 16:46:42,0.899,0,4.46,0
2025-03-01 16:46:43,0.899,0,4.46,0
2025-03-01 16:46:44,0.899,0,4.46,0
2025-03-01 16:46:45,0.899,0,4.46,0
2025-03-01 16:46:46,0.899,0,4.46,0
2025-03-01 16:46:47,0.899,0,4.46,0
2025-03-01 16:46:48,0.899,0,4.46,0
2025-03-01 16:46:49,0.899,0,4.46,0
2025-03-01 16:46:50,0.899,0,4.46,0
2025-03-01 16:46:51,0.899,0,4.46,0
2025-03-01 16:46:52,0.899,0,4.46,0
2025-03-01 16:46:53,0.899,0,4.46,0
2025-03-01 16:46:54,0.899,0,4.46,0
2025-03-01 16:46:55,1.32,0,5.84,0
2025-03-01 16:46:56,1.32,0,5.84,0
2025-03-01 16:46:57,1.32,0,5.84,0
2025-03-01 16:46:58,1.32,0,5.84,0
2025-03-01 16:46:59,1.32,0,5.84,0
2025-03-01 16:47:00,1.32,0,5.84,0
2025-03-01 16:47:01,1.32,0,5.84,0
2025-03-01 16:47:02,1.32,0,5.84,0
2025-03-01 16:47:03,1.32,0,5.84,0
2025-03-01 16:47:04,1.32,0,5.84,0
2025-03-01 16:47:05,1.32,0,5.84,0
2025-03-01 16:47:06,1.32,0,5.84,0
2025-03-01 16:47:07,1.32,0,5.84,0
2025-03-01 16:47:08,1.32,0,5.84,0
2025-03-01 16:47:09,1.32,0,5.84,0
2025-03-01 16:47:10,1.32,0,5.84,0
2025-03-01 16:47:11,1.32,0,5.84,0
2025-03-01 16:47:12,1.32,0,5.84,0
2025-03-01 16:47:13,1.32,0,5.84,0
2025-03-01 16:47:14,1.32,0,5.84,0
2025-03-01 16:47:15,1.32,0,5.84,0
2025-03-01 16:47:16,1.32,0,5.84,0
2025-03-01 16:47:17,1.32,0,5.84,0
2025-03-01 16:47:18,1.32,0,5.84,0
2025-03-01 16:47:19,1.32,0,5.84,0
2025-03-01 16:47:20,1.32,0,5.84,0
2025-03-01 16:47:21,1.32,0,5.84,0
2025-03-01 16:47:22,1.32,0,5.84,0
2025-03-01 16:47:23,1.32,0,5.84,0
2025-03-01 16:47:24,1.32,0,5.84,0
2025-03-01 16:47:25,1.30,0,5.79,0
2025-03-01 16:47:26,1.30,0,5.79,0
2025-03-01 16:47:27,1.30,0,5.79,0
2025-03-01 16:47:28,1.30,0,5.79,0
2025-03-01 16:47:29,1.30,0,5.79,0
2025-03-01 16:47:30,1.30,0,5.79,0
2025-03-01 16:47:31,1.30,0,5.79,0
2025-03-01 16:47:32,1.30,0,5.79,0
2025-03-01 16:47:33,1.30,0,5.79,0
2025-03-01 16:47:34,1.30,0,5.79,0
2025-03-01 16:47:35,1.30,0,5.79,0
