"Time","control-project-56b89bcb95-xhkpw / app-namespace / PKG","control-project-56b89bcb95-xhkpw / app-namespace / DRAM","control-project-56b89bcb95-xhkpw / app-namespace / OTHER","control-project-56b89bcb95-xhkpw / app-namespace / GPU"
2025-03-01 16:34:35,0.0531,0,1.03,0
2025-03-01 16:34:36,0.0531,0,1.03,0
2025-03-01 16:34:37,0.0531,0,1.03,0
2025-03-01 16:34:38,0.0531,0,1.03,0
2025-03-01 16:34:39,0.0531,0,1.03,0
2025-03-01 16:34:40,0.0531,0,1.03,0
2025-03-01 16:34:41,0.0531,0,1.03,0
2025-03-01 16:34:42,0.0531,0,1.03,0
2025-03-01 16:34:43,0.0531,0,1.03,0
2025-03-01 16:34:44,0.0531,0,1.03,0
2025-03-01 16:34:45,0.0531,0,1.03,0
2025-03-01 16:34:46,0.0531,0,1.03,0
2025-03-01 16:34:47,0.0531,0,1.03,0
2025-03-01 16:34:48,0.0531,0,1.03,0
2025-03-01 16:34:49,0.0531,0,1.03,0
2025-03-01 16:34:50,0.0531,0,1.03,0
2025-03-01 16:34:51,0.0531,0,1.03,0
2025-03-01 16:34:52,0.0531,0,1.03,0
2025-03-01 16:34:53,0.0531,0,1.03,0
2025-03-01 16:34:54,0.0531,0,1.03,0
2025-03-01 16:34:55,0.573,0,2.36,0
2025-03-01 16:34:56,0.573,0,2.36,0
2025-03-01 16:34:57,0.573,0,2.36,0
2025-03-01 16:34:58,0.573,0,2.36,0
2025-03-01 16:34:59,0.573,0,2.36,0
2025-03-01 16:35:00,0.573,0,2.36,0
2025-03-01 16:35:01,0.573,0,2.36,0
2025-03-01 16:35:02,0.573,0,2.36,0
2025-03-01 16:35:03,0.573,0,2.36,0
2025-03-01 16:35:04,0.573,0,2.36,0
2025-03-01 16:35:05,0.573,0,2.36,0
2025-03-01 16:35:06,0.573,0,2.36,0
2025-03-01 16:35:07,0.573,0,2.36,0
2025-03-01 16:35:08,0.573,0,2.36,0
2025-03-01 16:35:09,0.573,0,2.36,0
2025-03-01 16:35:10,0.573,0,2.36,0
2025-03-01 16:35:11,0.573,0,2.36,0
2025-03-01 16:35:12,0.573,0,2.36,0
2025-03-01 16:35:13,0.573,0,2.36,0
2025-03-01 16:35:14,0.573,0,2.36,0
2025-03-01 16:35:15,0.573,0,2.36,0
2025-03-01 16:35:16,0.573,0,2.36,0
2025-03-01 16:35:17,0.573,0,2.36,0
2025-03-01 16:35:18,0.573,0,2.36,0
2025-03-01 16:35:19,0.573,0,2.36,0
2025-03-01 16:35:20,0.573,0,2.36,0
2025-03-01 16:35:21,0.573,0,2.36,0
2025-03-01 16:35:22,0.573,0,2.36,0
2025-03-01 16:35:23,0.573,0,2.36,0
2025-03-01 16:35:24,0.573,0,2.36,0
2025-03-01 16:35:25,0.974,0,3.05,0
2025-03-01 16:35:26,0.974,0,3.05,0
2025-03-01 16:35:27,0.974,0,3.05,0
2025-03-01 16:35:28,0.974,0,3.05,0
2025-03-01 16:35:29,0.974,0,3.05,0
2025-03-01 16:35:30,0.974,0,3.05,0
2025-03-01 16:35:31,0.974,0,3.05,0
2025-03-01 16:35:32,0.974,0,3.05,0
2025-03-01 16:35:33,0.974,0,3.05,0
2025-03-01 16:35:34,0.974,0,3.05,0
2025-03-01 16:35:35,0.974,0,3.05,0
2025-03-01 16:35:36,0.974,0,3.05,0
2025-03-01 16:35:37,0.974,0,3.05,0
2025-03-01 16:35:38,0.974,0,3.05,0
2025-03-01 16:35:39,0.974,0,3.05,0
2025-03-01 16:35:40,0.974,0,3.05,0
2025-03-01 16:35:41,0.974,0,3.05,0
2025-03-01 16:35:42,0.974,0,3.05,0
2025-03-01 16:35:43,0.974,0,3.05,0
2025-03-01 16:35:44,0.974,0,3.05,0
2025-03-01 16:35:45,0.974,0,3.05,0
2025-03-01 16:35:46,0.974,0,3.05,0
2025-03-01 16:35:47,0.974,0,3.05,0
2025-03-01 16:35:48,0.974,0,3.05,0
2025-03-01 16:35:49,0.974,0,3.05,0
2025-03-01 16:35:50,0.974,0,3.05,0
2025-03-01 16:35:51,0.974,0,3.05,0
2025-03-01 16:35:52,0.974,0,3.05,0
2025-03-01 16:35:53,0.974,0,3.05,0
2025-03-01 16:35:54,0.974,0,3.05,0
2025-03-01 16:35:55,0.998,0,2.97,0
2025-03-01 16:35:56,0.998,0,2.97,0
