metric_name,timestamp,metric_value,check,error,error_code,expected_response,group,method,name,proto,scenario,service,status,subproto,tls_version,url,extra_tags,metadata
http_reqs,1747120407,1.000000,,,,true,,PUT,http://localhost:8080/users/2401,HTTP/1.1,default,,200,,,http://localhost:8080/users/2401,,
http_req_duration,1747120407,16.564240,,,,true,,PUT,http://localhost:8080/users/2401,HTTP/1.1,default,,200,,,http://localhost:8080/users/2401,,
http_req_blocked,1747120407,0.386796,,,,true,,PUT,http://localhost:8080/users/2401,HTTP/1.1,default,,200,,,http://localhost:8080/users/2401,,
http_req_connecting,1747120407,0.255337,,,,true,,PUT,http://localhost:8080/users/2401,HTTP/1.1,default,,200,,,http://localhost:8080/users/2401,,
http_req_tls_handshaking,1747120407,0.000000,,,,true,,PUT,http://localhost:8080/users/2401,HTTP/1.1,default,,200,,,http://localhost:8080/users/2401,,
http_req_sending,1747120407,0.144101,,,,true,,PUT,http://localhost:8080/users/2401,HTTP/1.1,default,,200,,,http://localhost:8080/users/2401,,
http_req_waiting,1747120407,16.214334,,,,true,,PUT,http://localhost:8080/users/2401,HTTP/1.1,default,,200,,,http://localhost:8080/users/2401,,
http_req_receiving,1747120407,0.205805,,,,true,,PUT,http://localhost:8080/users/2401,HTTP/1.1,default,,200,,,http://localhost:8080/users/2401,,
http_req_failed,1747120407,0.000000,,,,true,,PUT,http://localhost:8080/users/2401,HTTP/1.1,default,,200,,,http://localhost:8080/users/2401,,
response_time,1747120407,16.564240,,,,,,,,,default,,,,,,,
reponse_size,1747120407,206.000000,,,,,,,,,default,,,,,,,
checks,1747120407,1.000000,is status 200,,,,,,,,default,,,,,,,
data_sent,1747120407,491.000000,,,,,,,,,default,,,,,,,
data_received,1747120407,615.000000,,,,,,,,,default,,,,,,,
iteration_duration,1747120407,17.533326,,,,,,,,,default,,,,,,,
iterations,1747120407,1.000000,,,,,,,,,default,,,,,,,
http_reqs,1747120407,1.000000,,,,true,,PUT,http://localhost:8080/users/2402,HTTP/1.1,default,,200,,,http://localhost:8080/users/2402,,
http_req_duration,1747120407,8.750628,,,,true,,PUT,http://localhost:8080/users/2402,HTTP/1.1,default,,200,,,http://localhost:8080/users/2402,,
http_req_blocked,1747120407,0.004801,,,,true,,PUT,http://localhost:8080/users/2402,HTTP/1.1,default,,200,,,http://localhost:8080/users/2402,,
http_req_connecting,1747120407,0.000000,,,,true,,PUT,http://localhost:8080/users/2402,HTTP/1.1,default,,200,,,http://localhost:8080/users/2402,,
http_req_tls_handshaking,1747120407,0.000000,,,,true,,PUT,http://localhost:8080/users/2402,HTTP/1.1,default,,200,,,http://localhost:8080/users/2402,,
http_req_sending,1747120407,0.031750,,,,true,,PUT,http://localhost:8080/users/2402,HTTP/1.1,default,,200,,,http://localhost:8080/users/2402,,
http_req_waiting,1747120407,8.542884,,,,true,,PUT,http://localhost:8080/users/2402,HTTP/1.1,default,,200,,,http://localhost:8080/users/2402,,
http_req_receiving,1747120407,0.175994,,,,true,,PUT,http://localhost:8080/users/2402,HTTP/1.1,default,,200,,,http://localhost:8080/users/2402,,
http_req_failed,1747120407,0.000000,,,,true,,PUT,http://localhost:8080/users/2402,HTTP/1.1,default,,200,,,http://localhost:8080/users/2402,,
response_time,1747120407,8.750628,,,,,,,,,default,,,,,,,
reponse_size,1747120407,206.000000,,,,,,,,,default,,,,,,,
checks,1747120407,1.000000,is status 200,,,,,,,,default,,,,,,,
data_sent,1747120407,491.000000,,,,,,,,,default,,,,,,,
data_received,1747120407,615.000000,,,,,,,,,default,,,,,,,
iteration_duration,1747120407,9.067833,,,,,,,,,default,,,,,,,
iterations,1747120407,1.000000,,,,,,,,,default,,,,,,,
http_reqs,1747120407,1.000000,,,,true,,PUT,http://localhost:8080/users/2403,HTTP/1.1,default,,200,,,http://localhost:8080/users/2403,,
http_req_duration,1747120407,7.934446,,,,true,,PUT,http://localhost:8080/users/2403,HTTP/1.1,default,,200,,,http://localhost:8080/users/2403,,
http_req_blocked,1747120407,0.006308,,,,true,,PUT,http://localhost:8080/users/2403,HTTP/1.1,default,,200,,,http://localhost:8080/users/2403,,
http_req_connecting,1747120407,0.000000,,,,true,,PUT,http://localhost:8080/users/2403,HTTP/1.1,default,,200,,,http://localhost:8080/users/2403,,
http_req_tls_handshaking,1747120407,0.000000,,,,true,,PUT,http://localhost:8080/users/2403,HTTP/1.1,default,,200,,,http://localhost:8080/users/2403,,
http_req_sending,1747120407,0.027873,,,,true,,PUT,http://localhost:8080/users/2403,HTTP/1.1,default,,200,,,http://localhost:8080/users/2403,,
http_req_waiting,1747120407,7.789447,,,,true,,PUT,http://localhost:8080/users/2403,HTTP/1.1,default,,200,,,http://localhost:8080/users/2403,,
http_req_receiving,1747120407,0.117126,,,,true,,PUT,http://localhost:8080/users/2403,HTTP/1.1,default,,200,,,http://localhost:8080/users/2403,,
http_req_failed,1747120407,0.000000,,,,true,,PUT,http://localhost:8080/users/2403,HTTP/1.1,default,,200,,,http://localhost:8080/users/2403,,
response_time,1747120407,7.934446,,,,,,,,,default,,,,,,,
reponse_size,1747120407,206.000000,,,,,,,,,default,,,,,,,
checks,1747120407,1.000000,is status 200,,,,,,,,default,,,,,,,
data_sent,1747120407,491.000000,,,,,,,,,default,,,,,,,
data_received,1747120407,615.000000,,,,,,,,,default,,,,,,,
iteration_duration,1747120407,8.271368,,,,,,,,,default,,,,,,,
iterations,1747120407,1.000000,,,,,,,,,default,,,,,,,
http_reqs,1747120407,1.000000,,,,true,,PUT,http://localhost:8080/users/2404,HTTP/1.1,default,,200,,,http://localhost:8080/users/2404,,
http_req_duration,1747120407,7.493589,,,,true,,PUT,http://localhost:8080/users/2404,HTTP/1.1,default,,200,,,http://localhost:8080/users/2404,,
http_req_blocked,1747120407,0.008593,,,,true,,PUT,http://localhost:8080/users/2404,HTTP/1.1,default,,200,,,http://localhost:8080/users/2404,,
http_req_connecting,1747120407,0.000000,,,,true,,PUT,http://localhost:8080/users/2404,HTTP/1.1,default,,200,,,http://localhost:8080/users/2404,,
http_req_tls_handshaking,1747120407,0.000000,,,,true,,PUT,http://localhost:8080/users/2404,HTTP/1.1,default,,200,,,http://localhost:8080/users/2404,,
http_req_sending,1747120407,0.057637,,,,true,,PUT,http://localhost:8080/users/2404,HTTP/1.1,default,,200,,,http://localhost:8080/users/2404,,
http_req_waiting,1747120407,7.365362,,,,true,,PUT,http://localhost:8080/users/2404,HTTP/1.1,default,,200,,,http://localhost:8080/users/2404,,
http_req_receiving,1747120407,0.070590,,,,true,,PUT,http://localhost:8080/users/2404,HTTP/1.1,default,,200,,,http://localhost:8080/users/2404,,
http_req_failed,1747120407,0.000000,,,,true,,PUT,http://localhost:8080/users/2404,HTTP/1.1,default,,200,,,http://localhost:8080/users/2404,,
response_time,1747120407,7.493589,,,,,,,,,default,,,,,,,
reponse_size,1747120407,205.000000,,,,,,,,,default,,,,,,,
checks,1747120407,1.000000,is status 200,,,,,,,,default,,,,,,,
data_sent,1747120407,491.000000,,,,,,,,,default,,,,,,,
data_received,1747120407,614.000000,,,,,,,,,default,,,,,,,
iteration_duration,1747120407,7.795797,,,,,,,,,default,,,,,,,
iterations,1747120407,1.000000,,,,,,,,,default,,,,,,,
http_reqs,1747120407,1.000000,,,,true,,PUT,http://localhost:8080/users/2405,HTTP/1.1,default,,200,,,http://localhost:8080/users/2405,,
http_req_duration,1747120407,7.720663,,,,true,,PUT,http://localhost:8080/users/2405,HTTP/1.1,default,,200,,,http://localhost:8080/users/2405,,
http_req_blocked,1747120407,0.003466,,,,true,,PUT,http://localhost:8080/users/2405,HTTP/1.1,default,,200,,,http://localhost:8080/users/2405,,
http_req_connecting,1747120407,0.000000,,,,true,,PUT,http://localhost:8080/users/2405,HTTP/1.1,default,,200,,,http://localhost:8080/users/2405,,
