"Time","experimental-project-8457b5d6f6-bwdmb / app-namespace / PKG","experimental-project-8457b5d6f6-bwdmb / app-namespace / DRAM","experimental-project-8457b5d6f6-bwdmb / app-namespace / OTHER","experimental-project-8457b5d6f6-bwdmb / app-namespace / GPU"
2025-03-03 11:42:32,0.0487,0,0.902,0
2025-03-03 11:42:34,0.0487,0,0.902,0
2025-03-03 11:42:36,0.0487,0,0.902,0
2025-03-03 11:42:38,0.0487,0,0.902,0
2025-03-03 11:42:40,0.205,0,1.63,0
2025-03-03 11:42:42,0.205,0,1.63,0
2025-03-03 11:42:44,0.205,0,1.63,0
2025-03-03 11:42:46,0.205,0,1.63,0
2025-03-03 11:42:48,0.205,0,1.63,0
2025-03-03 11:42:50,0.205,0,1.63,0
2025-03-03 11:42:52,0.205,0,1.63,0
2025-03-03 11:42:54,0.205,0,1.63,0
2025-03-03 11:42:56,0.205,0,1.63,0
2025-03-03 11:42:58,0.205,0,1.63,0
2025-03-03 11:43:00,0.205,0,1.63,0
2025-03-03 11:43:02,0.205,0,1.63,0
2025-03-03 11:43:04,0.205,0,1.63,0
2025-03-03 11:43:06,0.205,0,1.63,0
2025-03-03 11:43:08,0.205,0,1.63,0
2025-03-03 11:43:10,0.860,0,6.07,0
2025-03-03 11:43:12,0.860,0,6.07,0
2025-03-03 11:43:14,0.860,0,6.07,0
2025-03-03 11:43:16,0.860,0,6.07,0
2025-03-03 11:43:18,0.860,0,6.07,0
2025-03-03 11:43:20,0.860,0,6.07,0
2025-03-03 11:43:22,0.860,0,6.07,0
2025-03-03 11:43:24,0.860,0,6.07,0
2025-03-03 11:43:26,0.860,0,6.07,0
2025-03-03 11:43:28,0.860,0,6.07,0
2025-03-03 11:43:30,0.860,0,6.07,0
2025-03-03 11:43:32,0.860,0,6.07,0
2025-03-03 11:43:34,0.860,0,6.07,0
2025-03-03 11:43:36,0.860,0,6.07,0
2025-03-03 11:43:38,0.860,0,6.07,0
2025-03-03 11:43:40,0.846,0,4.83,0
2025-03-03 11:43:42,0.846,0,4.83,0
2025-03-03 11:43:44,0.846,0,4.83,0
2025-03-03 11:43:46,0.846,0,4.83,0
2025-03-03 11:43:48,0.846,0,4.83,0
2025-03-03 11:43:50,0.846,0,4.83,0
2025-03-03 11:43:52,0.846,0,4.83,0
2025-03-03 11:43:54,0.846,0,4.83,0
2025-03-03 11:43:56,0.846,0,4.83,0
2025-03-03 11:43:58,0.846,0,4.83,0
2025-03-03 11:44:00,0.846,0,4.83,0
2025-03-03 11:44:02,0.846,0,4.83,0
2025-03-03 11:44:04,0.846,0,4.83,0
2025-03-03 11:44:06,0.846,0,4.83,0
2025-03-03 11:44:08,0.846,0,4.83,0
2025-03-03 11:44:10,0.849,0,4.90,0
2025-03-03 11:44:12,0.849,0,4.90,0
2025-03-03 11:44:14,0.849,0,4.90,0
2025-03-03 11:44:16,0.849,0,4.90,0
2025-03-03 11:44:18,0.849,0,4.90,0
2025-03-03 11:44:20,0.849,0,4.90,0
2025-03-03 11:44:22,0.849,0,4.90,0
2025-03-03 11:44:24,0.849,0,4.90,0
2025-03-03 11:44:26,0.849,0,4.90,0
2025-03-03 11:44:28,0.849,0,4.90,0
2025-03-03 11:44:30,0.849,0,4.90,0
2025-03-03 11:44:32,0.849,0,4.90,0
2025-03-03 11:44:34,0.849,0,4.90,0
2025-03-03 11:44:36,0.849,0,4.90,0
2025-03-03 11:44:38,0.849,0,4.90,0
2025-03-03 11:44:40,0.839,0,4.82,0
2025-03-03 11:44:42,0.839,0,4.82,0
2025-03-03 11:44:44,0.839,0,4.82,0
2025-03-03 11:44:46,0.839,0,4.82,0
2025-03-03 11:44:48,0.839,0,4.82,0
2025-03-03 11:44:50,0.839,0,4.82,0
2025-03-03 11:44:52,0.839,0,4.82,0
2025-03-03 11:44:54,0.839,0,4.82,0
2025-03-03 11:44:56,0.839,0,4.82,0
2025-03-03 11:44:58,0.839,0,4.82,0
2025-03-03 11:45:00,0.839,0,4.82,0
2025-03-03 11:45:02,0.839,0,4.82,0
2025-03-03 11:45:04,0.839,0,4.82,0
2025-03-03 11:45:06,0.839,0,4.82,0
2025-03-03 11:45:08,0.839,0,4.82,0
2025-03-03 11:45:10,0.862,0,4.81,0
2025-03-03 11:45:12,0.862,0,4.81,0
2025-03-03 11:45:14,0.862,0,4.81,0
2025-03-03 11:45:16,0.862,0,4.81,0
2025-03-03 11:45:18,0.862,0,4.81,0
2025-03-03 11:45:20,0.862,0,4.81,0
2025-03-03 11:45:22,0.862,0,4.81,0
2025-03-03 11:45:24,0.862,0,4.81,0
2025-03-03 11:45:26,0.862,0,4.81,0
2025-03-03 11:45:28,0.862,0,4.81,0
2025-03-03 11:45:30,0.862,0,4.81,0
2025-03-03 11:45:32,0.862,0,4.81,0
2025-03-03 11:45:34,0.862,0,4.81,0
2025-03-03 11:45:36,0.862,0,4.81,0
2025-03-03 11:45:38,0.862,0,4.81,0
2025-03-03 11:45:40,0.842,0,4.83,0
2025-03-03 11:45:42,0.842,0,4.83,0
2025-03-03 11:45:44,0.842,0,4.83,0
2025-03-03 11:45:46,0.842,0,4.83,0
2025-03-03 11:45:48,0.842,0,4.83,0
2025-03-03 11:45:50,0.842,0,4.83,0
2025-03-03 11:45:52,0.842,0,4.83,0
2025-03-03 11:45:54,0.842,0,4.83,0
2025-03-03 11:45:56,0.842,0,4.83,0
2025-03-03 11:45:58,0.842,0,4.83,0
2025-03-03 11:46:00,0.842,0,4.83,0
2025-03-03 11:46:02,0.842,0,4.83,0
2025-03-03 11:46:04,0.842,0,4.83,0
