"Time","PKG","DRAM","OTHER","GPU"
2025-03-03 14:00:50,0.0450,0,0.850,0
2025-03-03 14:00:52,0.0450,0,0.850,0
2025-03-03 14:00:54,0.0450,0,0.850,0
2025-03-03 14:00:56,0.0450,0,0.850,0
2025-03-03 14:00:58,0.0450,0,0.850,0
2025-03-03 14:01:00,0.0450,0,0.850,0
2025-03-03 14:01:02,0.0450,0,0.850,0
2025-03-03 14:01:04,0.0450,0,0.850,0
2025-03-03 14:01:06,0.448,0,2.81,0
2025-03-03 14:01:08,0.448,0,2.81,0
2025-03-03 14:01:10,0.448,0,2.81,0
2025-03-03 14:01:12,0.448,0,2.81,0
2025-03-03 14:01:14,0.448,0,2.81,0
2025-03-03 14:01:16,0.448,0,2.81,0
2025-03-03 14:01:18,0.448,0,2.81,0
2025-03-03 14:01:20,0.448,0,2.81,0
2025-03-03 14:01:22,0.448,0,2.81,0
2025-03-03 14:01:24,0.448,0,2.81,0
2025-03-03 14:01:26,0.448,0,2.81,0
2025-03-03 14:01:28,0.448,0,2.81,0
2025-03-03 14:01:30,0.448,0,2.81,0
2025-03-03 14:01:32,0.448,0,2.81,0
2025-03-03 14:01:34,0.448,0,2.81,0
2025-03-03 14:01:36,0.911,0,5.13,0
2025-03-03 14:01:38,0.911,0,5.13,0
2025-03-03 14:01:40,0.911,0,5.13,0
2025-03-03 14:01:42,0.911,0,5.13,0
2025-03-03 14:01:44,0.911,0,5.13,0
2025-03-03 14:01:46,0.911,0,5.13,0
2025-03-03 14:01:48,0.911,0,5.13,0
2025-03-03 14:01:50,0.911,0,5.13,0
2025-03-03 14:01:52,0.911,0,5.13,0
2025-03-03 14:01:54,0.911,0,5.13,0
2025-03-03 14:01:56,0.911,0,5.13,0
2025-03-03 14:01:58,0.911,0,5.13,0
2025-03-03 14:02:00,0.911,0,5.13,0
2025-03-03 14:02:02,0.911,0,5.13,0
2025-03-03 14:02:04,0.911,0,5.13,0
2025-03-03 14:02:06,0.916,0,5.15,0
2025-03-03 14:02:08,0.916,0,5.15,0
2025-03-03 14:02:10,0.916,0,5.15,0
2025-03-03 14:02:12,0.916,0,5.15,0
2025-03-03 14:02:14,0.916,0,5.15,0
2025-03-03 14:02:16,0.916,0,5.15,0
2025-03-03 14:02:18,0.916,0,5.15,0
2025-03-03 14:02:20,0.916,0,5.15,0
2025-03-03 14:02:22,0.916,0,5.15,0
2025-03-03 14:02:24,0.916,0,5.15,0
2025-03-03 14:02:26,0.916,0,5.15,0
2025-03-03 14:02:28,0.916,0,5.15,0
2025-03-03 14:02:30,0.916,0,5.15,0
2025-03-03 14:02:32,0.916,0,5.15,0
2025-03-03 14:02:34,0.916,0,5.15,0
2025-03-03 14:02:36,0.921,0,5.04,0
2025-03-03 14:02:38,0.921,0,5.04,0
2025-03-03 14:02:40,0.921,0,5.04,0
2025-03-03 14:02:42,0.921,0,5.04,0
2025-03-03 14:02:44,0.921,0,5.04,0
2025-03-03 14:02:46,0.921,0,5.04,0
2025-03-03 14:02:48,0.921,0,5.04,0
2025-03-03 14:02:50,0.921,0,5.04,0
2025-03-03 14:02:52,0.921,0,5.04,0
2025-03-03 14:02:54,0.921,0,5.04,0
2025-03-03 14:02:56,0.921,0,5.04,0
2025-03-03 14:02:58,0.921,0,5.04,0
2025-03-03 14:03:00,0.921,0,5.04,0
2025-03-03 14:03:02,0.921,0,5.04,0
2025-03-03 14:03:04,0.921,0,5.04,0
2025-03-03 14:03:06,0.893,0,5.16,0
2025-03-03 14:03:08,0.893,0,5.16,0
2025-03-03 14:03:10,0.893,0,5.16,0
2025-03-03 14:03:12,0.893,0,5.16,0
2025-03-03 14:03:14,0.893,0,5.16,0
2025-03-03 14:03:16,0.893,0,5.16,0
2025-03-03 14:03:18,0.893,0,5.16,0
2025-03-03 14:03:20,0.893,0,5.16,0
2025-03-03 14:03:22,0.893,0,5.16,0
2025-03-03 14:03:24,0.893,0,5.16,0
2025-03-03 14:03:26,0.893,0,5.16,0
2025-03-03 14:03:28,0.893,0,5.16,0
2025-03-03 14:03:30,0.893,0,5.16,0
2025-03-03 14:03:32,0.893,0,5.16,0
2025-03-03 14:03:34,0.893,0,5.16,0
2025-03-03 14:03:36,0.919,0,5.04,0
2025-03-03 14:03:38,0.919,0,5.04,0
2025-03-03 14:03:40,0.919,0,5.04,0
2025-03-03 14:03:42,0.919,0,5.04,0
2025-03-03 14:03:44,0.919,0,5.04,0
2025-03-03 14:03:46,0.919,0,5.04,0
2025-03-03 14:03:48,0.919,0,5.04,0
2025-03-03 14:03:50,0.919,0,5.04,0
2025-03-03 14:03:52,0.919,0,5.04,0
2025-03-03 14:03:54,0.919,0,5.04,0
2025-03-03 14:03:56,0.919,0,5.04,0
2025-03-03 14:03:58,0.919,0,5.04,0
2025-03-03 14:04:00,0.919,0,5.04,0
2025-03-03 14:04:02,0.919,0,5.04,0
2025-03-03 14:04:04,0.919,0,5.04,0
2025-03-03 14:04:06,0.906,0,5.18,0
2025-03-03 14:04:08,0.906,0,5.18,0
2025-03-03 14:04:10,0.906,0,5.18,0
2025-03-03 14:04:12,0.906,0,5.18,0
2025-03-03 14:04:14,0.906,0,5.18,0
2025-03-03 14:04:16,0.906,0,5.18,0
2025-03-03 14:04:18,0.906,0,5.18,0
2025-03-03 14:04:20,0.906,0,5.18,0
2025-03-03 14:04:22,0.906,0,5.18,0
2025-03-03 14:04:24,0.906,0,5.18,0
2025-03-03 14:04:26,0.906,0,5.18,0
2025-03-03 14:04:28,0.906,0,5.18,0
2025-03-03 14:04:30,0.906,0,5.18,0
2025-03-03 14:04:32,0.906,0,5.18,0
2025-03-03 14:04:34,0.906,0,5.18,0
2025-03-03 14:04:36,0.909,0,5.03,0
2025-03-03 14:04:38,0.909,0,5.03,0
2025-03-03 14:04:40,0.909,0,5.03,0
2025-03-03 14:04:42,0.909,0,5.03,0
2025-03-03 14:04:44,0.909,0,5.03,0
2025-03-03 14:04:46,0.909,0,5.03,0
2025-03-03 14:04:48,0.909,0,5.03,0
2025-03-03 14:04:50,0.909,0,5.03,0
2025-03-03 14:04:52,0.909,0,5.03,0
2025-03-03 14:04:54,0.909,0,5.03,0
2025-03-03 14:04:56,0.909,0,5.03,0
2025-03-03 14:04:58,0.909,0,5.03,0
2025-03-03 14:05:00,0.909,0,5.03,0
2025-03-03 14:05:02,0.909,0,5.03,0
2025-03-03 14:05:04,0.909,0,5.03,0
2025-03-03 14:05:06,0.931,0,5.19,0
2025-03-03 14:05:08,0.931,0,5.19,0
2025-03-03 14:05:10,0.931,0,5.19,0
2025-03-03 14:05:12,0.931,0,5.19,0
2025-03-03 14:05:14,0.931,0,5.19,0
2025-03-03 14:05:16,0.931,0,5.19,0
2025-03-03 14:05:18,0.931,0,5.19,0
2025-03-03 14:05:20,0.931,0,5.19,0
2025-03-03 14:05:22,0.931,0,5.19,0
2025-03-03 14:05:24,0.931,0,5.19,0
2025-03-03 14:05:26,0.931,0,5.19,0
2025-03-03 14:05:28,0.931,0,5.19,0
2025-03-03 14:05:30,0.931,0,5.19,0
2025-03-03 14:05:32,0.931,0,5.19,0
2025-03-03 14:05:34,0.931,0,5.19,0
2025-03-03 14:05:36,0.905,0,5.05,0
2025-03-03 14:05:38,0.905,0,5.05,0
2025-03-03 14:05:40,0.905,0,5.05,0
2025-03-03 14:05:42,0.905,0,5.05,0
