"Time","PKG","DRAM","OTHER","GPU"
2025-03-02 20:58:19,0.0394,0,0.753,0
2025-03-02 20:58:20,0.0394,0,0.753,0
2025-03-02 20:58:21,0.0394,0,0.753,0
2025-03-02 20:58:22,0.0394,0,0.753,0
2025-03-02 20:58:23,0.0394,0,0.753,0
2025-03-02 20:58:24,0.0394,0,0.753,0
2025-03-02 20:58:25,0.0394,0,0.753,0
2025-03-02 20:58:26,0.0394,0,0.753,0
2025-03-02 20:58:27,0.0394,0,0.753,0
2025-03-02 20:58:28,0.0394,0,0.753,0
2025-03-02 20:58:29,0.0394,0,0.753,0
2025-03-02 20:58:30,0.0394,0,0.753,0
2025-03-02 20:58:31,0.0394,0,0.753,0
2025-03-02 20:58:32,0.0394,0,0.753,0
2025-03-02 20:58:33,0.0394,0,0.753,0
2025-03-02 20:58:34,0.0394,0,0.753,0
2025-03-02 20:58:35,0.0394,0,0.753,0
2025-03-02 20:58:36,0.0394,0,0.753,0
2025-03-02 20:58:37,0.440,0,3.93,0
2025-03-02 20:58:38,0.440,0,3.93,0
2025-03-02 20:58:39,0.440,0,3.93,0
2025-03-02 20:58:40,0.440,0,3.93,0
2025-03-02 20:58:41,0.440,0,3.93,0
2025-03-02 20:58:42,0.440,0,3.93,0
2025-03-02 20:58:43,0.440,0,3.93,0
2025-03-02 20:58:44,0.440,0,3.93,0
2025-03-02 20:58:45,0.440,0,3.93,0
2025-03-02 20:58:46,0.440,0,3.93,0
2025-03-02 20:58:47,0.440,0,3.93,0
2025-03-02 20:58:48,0.440,0,3.93,0
2025-03-02 20:58:49,0.440,0,3.93,0
2025-03-02 20:58:50,0.440,0,3.93,0
2025-03-02 20:58:51,0.440,0,3.93,0
2025-03-02 20:58:52,0.440,0,3.93,0
2025-03-02 20:58:53,0.440,0,3.93,0
2025-03-02 20:58:54,0.440,0,3.93,0
2025-03-02 20:58:55,0.440,0,3.93,0
2025-03-02 20:58:56,0.440,0,3.93,0
2025-03-02 20:58:57,0.440,0,3.93,0
2025-03-02 20:58:58,0.440,0,3.93,0
2025-03-02 20:58:59,0.440,0,3.93,0
2025-03-02 20:59:00,0.440,0,3.93,0
2025-03-02 20:59:01,0.440,0,3.93,0
2025-03-02 20:59:02,0.440,0,3.93,0
2025-03-02 20:59:03,0.440,0,3.93,0
