"Time","experimental-project-8457b5d6f6-bwdmb / app-namespace / PKG","experimental-project-8457b5d6f6-bwdmb / app-namespace / DRAM","experimental-project-8457b5d6f6-bwdmb / app-namespace / OTHER","experimental-project-8457b5d6f6-bwdmb / app-namespace / GPU"
2025-03-02 21:01:06,0.850,0,2.82,0
2025-03-02 21:01:07,0.0479,0,0.888,0
2025-03-02 21:01:08,0.0479,0,0.888,0
2025-03-02 21:01:09,0.0479,0,0.888,0
2025-03-02 21:01:10,0.0479,0,0.888,0
2025-03-02 21:01:11,0.0479,0,0.888,0
2025-03-02 21:01:12,0.0479,0,0.888,0
2025-03-02 21:01:13,0.0479,0,0.888,0
2025-03-02 21:01:14,0.0479,0,0.888,0
2025-03-02 21:01:15,0.0479,0,0.888,0
2025-03-02 21:01:16,0.0479,0,0.888,0
2025-03-02 21:01:17,0.0479,0,0.888,0
2025-03-02 21:01:18,0.0479,0,0.888,0
2025-03-02 21:01:19,0.0479,0,0.888,0
2025-03-02 21:01:20,0.0479,0,0.888,0
2025-03-02 21:01:21,0.0479,0,0.888,0
2025-03-02 21:01:22,0.0479,0,0.888,0
2025-03-02 21:01:23,0.0479,0,0.888,0
2025-03-02 21:01:24,0.0479,0,0.888,0
2025-03-02 21:01:25,0.0479,0,0.888,0
2025-03-02 21:01:26,0.0479,0,0.888,0
2025-03-02 21:01:27,0.0479,0,0.888,0
2025-03-02 21:01:28,0.0479,0,0.888,0
2025-03-02 21:01:29,0.0479,0,0.888,0
2025-03-02 21:01:30,0.0479,0,0.888,0
2025-03-02 21:01:31,0.0479,0,0.888,0
2025-03-02 21:01:32,0.0479,0,0.888,0
2025-03-02 21:01:33,0.0479,0,0.888,0
2025-03-02 21:01:34,0.0479,0,0.888,0
2025-03-02 21:01:35,0.0479,0,0.888,0
2025-03-02 21:01:36,0.0479,0,0.888,0
2025-03-02 21:01:37,1.11,0,3.24,0
2025-03-02 21:01:38,1.11,0,3.24,0
2025-03-02 21:01:39,1.11,0,3.24,0
2025-03-02 21:01:40,1.11,0,3.24,0
2025-03-02 21:01:41,1.11,0,3.24,0
2025-03-02 21:01:42,1.11,0,3.24,0
2025-03-02 21:01:43,1.11,0,3.24,0
2025-03-02 21:01:44,1.11,0,3.24,0
2025-03-02 21:01:45,1.11,0,3.24,0
2025-03-02 21:01:46,1.11,0,3.24,0
2025-03-02 21:01:47,1.11,0,3.24,0
2025-03-02 21:01:48,1.11,0,3.24,0
2025-03-02 21:01:49,1.11,0,3.24,0
2025-03-02 21:01:50,1.11,0,3.24,0
2025-03-02 21:01:51,1.11,0,3.24,0
2025-03-02 21:01:52,1.11,0,3.24,0
2025-03-02 21:01:53,1.11,0,3.24,0
2025-03-02 21:01:54,1.11,0,3.24,0
2025-03-02 21:01:55,1.11,0,3.24,0
2025-03-02 21:01:56,1.11,0,3.24,0
2025-03-02 21:01:57,1.11,0,3.24,0
2025-03-02 21:01:58,1.11,0,3.24,0
2025-03-02 21:01:59,1.11,0,3.24,0
2025-03-02 21:02:00,1.11,0,3.24,0
2025-03-02 21:02:01,1.11,0,3.24,0
2025-03-02 21:02:02,1.11,0,3.24,0
2025-03-02 21:02:03,1.11,0,3.24,0
2025-03-02 21:02:04,1.11,0,3.24,0
2025-03-02 21:02:05,1.11,0,3.24,0
2025-03-02 21:02:06,1.11,0,3.24,0
2025-03-02 21:02:07,1.23,0,3.43,0
2025-03-02 21:02:08,1.23,0,3.43,0
2025-03-02 21:02:09,1.23,0,3.43,0
2025-03-02 21:02:10,1.23,0,3.43,0
2025-03-02 21:02:11,1.23,0,3.43,0
2025-03-02 21:02:12,1.23,0,3.43,0
2025-03-02 21:02:13,1.23,0,3.43,0
2025-03-02 21:02:14,1.23,0,3.43,0
2025-03-02 21:02:15,1.23,0,3.43,0
2025-03-02 21:02:16,1.23,0,3.43,0
2025-03-02 21:02:17,1.23,0,3.43,0
2025-03-02 21:02:18,1.23,0,3.43,0
2025-03-02 21:02:19,1.23,0,3.43,0
2025-03-02 21:02:20,1.23,0,3.43,0
2025-03-02 21:02:21,1.23,0,3.43,0
2025-03-02 21:02:22,1.23,0,3.43,0
2025-03-02 21:02:23,1.23,0,3.43,0
2025-03-02 21:02:24,1.23,0,3.43,0
2025-03-02 21:02:25,1.23,0,3.43,0
2025-03-02 21:02:26,1.23,0,3.43,0
2025-03-02 21:02:27,1.23,0,3.43,0
2025-03-02 21:02:28,1.23,0,3.43,0
2025-03-02 21:02:29,1.23,0,3.43,0
2025-03-02 21:02:30,1.23,0,3.43,0
2025-03-02 21:02:31,1.23,0,3.43,0
2025-03-02 21:02:32,1.23,0,3.43,0
2025-03-02 21:02:33,1.23,0,3.43,0
2025-03-02 21:02:34,1.23,0,3.43,0
2025-03-02 21:02:35,1.23,0,3.43,0
2025-03-02 21:02:36,1.23,0,3.43,0
2025-03-02 21:02:37,1.20,0,3.38,0
2025-03-02 21:02:38,1.20,0,3.38,0
2025-03-02 21:02:39,1.20,0,3.38,0
2025-03-02 21:02:40,1.20,0,3.38,0
2025-03-02 21:02:41,1.20,0,3.38,0
2025-03-02 21:02:42,1.20,0,3.38,0
2025-03-02 21:02:43,1.20,0,3.38,0
