"Time","experimental-project-8457b5d6f6-bwdmb / app-namespace / PKG","experimental-project-8457b5d6f6-bwdmb / app-namespace / DRAM","experimental-project-8457b5d6f6-bwdmb / app-namespace / OTHER","experimental-project-8457b5d6f6-bwdmb / app-namespace / GPU"
2025-03-02 20:54:25,0.267,0,1.69,0
2025-03-02 20:54:26,0.267,0,1.69,0
2025-03-02 20:54:27,0.267,0,1.69,0
2025-03-02 20:54:28,0.267,0,1.69,0
2025-03-02 20:54:29,0.267,0,1.69,0
2025-03-02 20:54:30,0.267,0,1.69,0
2025-03-02 20:54:31,0.267,0,1.69,0
2025-03-02 20:54:32,0.267,0,1.69,0
2025-03-02 20:54:33,0.267,0,1.69,0
2025-03-02 20:54:34,0.267,0,1.69,0
2025-03-02 20:54:35,0.267,0,1.69,0
2025-03-02 20:54:36,0.267,0,1.69,0
2025-03-02 20:54:37,0.353,0,2.03,0
2025-03-02 20:54:38,0.353,0,2.03,0
2025-03-02 20:54:39,0.353,0,2.03,0
2025-03-02 20:54:40,0.353,0,2.03,0
2025-03-02 20:54:41,0.353,0,2.03,0
2025-03-02 20:54:42,0.353,0,2.03,0
2025-03-02 20:54:43,0.353,0,2.03,0
2025-03-02 20:54:44,0.353,0,2.03,0
2025-03-02 20:54:45,0.353,0,2.03,0
2025-03-02 20:54:46,0.353,0,2.03,0
2025-03-02 20:54:47,0.353,0,2.03,0
2025-03-02 20:54:48,0.353,0,2.03,0
2025-03-02 20:54:49,0.353,0,2.03,0
2025-03-02 20:54:50,0.353,0,2.03,0
2025-03-02 20:54:51,0.353,0,2.03,0
2025-03-02 20:54:52,0.353,0,2.03,0
2025-03-02 20:54:53,0.353,0,2.03,0
2025-03-02 20:54:54,0.353,0,2.03,0
2025-03-02 20:54:55,0.353,0,2.03,0
2025-03-02 20:54:56,0.353,0,2.03,0
2025-03-02 20:54:57,0.353,0,2.03,0
2025-03-02 20:54:58,0.353,0,2.03,0
2025-03-02 20:54:59,0.353,0,2.03,0
2025-03-02 20:55:00,0.353,0,2.03,0
2025-03-02 20:55:01,0.353,0,2.03,0
2025-03-02 20:55:02,0.353,0,2.03,0
2025-03-02 20:55:03,0.353,0,2.03,0
2025-03-02 20:55:04,0.353,0,2.03,0
2025-03-02 20:55:05,0.353,0,2.03,0
2025-03-02 20:55:06,0.353,0,2.03,0
2025-03-02 20:55:07,0.897,0,4.84,0
2025-03-02 20:55:08,0.897,0,4.84,0
2025-03-02 20:55:09,0.897,0,4.84,0
2025-03-02 20:55:10,0.897,0,4.84,0
2025-03-02 20:55:11,0.897,0,4.84,0
2025-03-02 20:55:12,0.897,0,4.84,0
