"Time","PKG","DRAM","OTHER","GPU"
2025-03-02 19:16:52,0.0472,0,0.945,0
2025-03-02 19:16:53,0.0472,0,0.945,0
2025-03-02 19:16:54,0.0472,0,0.945,0
2025-03-02 19:16:55,0.0472,0,0.945,0
2025-03-02 19:16:56,0.0472,0,0.945,0
2025-03-02 19:16:57,0.0472,0,0.945,0
2025-03-02 19:16:58,0.0472,0,0.945,0
2025-03-02 19:16:59,0.0472,0,0.945,0
2025-03-02 19:17:00,0.0472,0,0.945,0
2025-03-02 19:17:01,0.0472,0,0.945,0
2025-03-02 19:17:02,0.0472,0,0.945,0
2025-03-02 19:17:03,0.0472,0,0.945,0
2025-03-02 19:17:04,0.0472,0,0.945,0
2025-03-02 19:17:05,0.0472,0,0.945,0
2025-03-02 19:17:06,0.0472,0,0.945,0
2025-03-02 19:17:07,0.0472,0,0.945,0
2025-03-02 19:17:08,0.0472,0,0.945,0
2025-03-02 19:17:09,0.0472,0,0.945,0
2025-03-02 19:17:10,0.0472,0,0.945,0
2025-03-02 19:17:11,0.0472,0,0.945,0
2025-03-02 19:17:12,0.0472,0,0.945,0
2025-03-02 19:17:13,0.0472,0,0.945,0
2025-03-02 19:17:14,0.0472,0,0.945,0
2025-03-02 19:17:15,0.0472,0,0.945,0
2025-03-02 19:17:16,0.0472,0,0.945,0
2025-03-02 19:17:17,0.0472,0,0.945,0
2025-03-02 19:17:18,0.0472,0,0.945,0
2025-03-02 19:17:19,0.0472,0,0.945,0
2025-03-02 19:17:20,0.810,0,2.87,0
2025-03-02 19:17:21,0.810,0,2.87,0
2025-03-02 19:17:22,0.810,0,2.87,0
2025-03-02 19:17:23,0.810,0,2.87,0
2025-03-02 19:17:24,0.810,0,2.87,0
2025-03-02 19:17:25,0.810,0,2.87,0
2025-03-02 19:17:26,0.810,0,2.87,0
2025-03-02 19:17:27,0.810,0,2.87,0
2025-03-02 19:17:28,0.810,0,2.87,0
2025-03-02 19:17:29,0.810,0,2.87,0
2025-03-02 19:17:30,0.810,0,2.87,0
2025-03-02 19:17:31,0.810,0,2.87,0
2025-03-02 19:17:32,0.810,0,2.87,0
2025-03-02 19:17:33,0.810,0,2.87,0
2025-03-02 19:17:34,0.810,0,2.87,0
2025-03-02 19:17:35,0.810,0,2.87,0
2025-03-02 19:17:36,0.810,0,2.87,0
2025-03-02 19:17:37,0.810,0,2.87,0
2025-03-02 19:17:38,0.810,0,2.87,0
2025-03-02 19:17:39,0.810,0,2.87,0
2025-03-02 19:17:40,0.810,0,2.87,0
2025-03-02 19:17:41,0.810,0,2.87,0
2025-03-02 19:17:42,0.810,0,2.87,0
2025-03-02 19:17:43,0.810,0,2.87,0
2025-03-02 19:17:44,0.810,0,2.87,0
2025-03-02 19:17:45,0.810,0,2.87,0
2025-03-02 19:17:46,0.810,0,2.87,0
2025-03-02 19:17:47,0.810,0,2.87,0
2025-03-02 19:17:48,0.810,0,2.87,0
2025-03-02 19:17:49,0.810,0,2.87,0
2025-03-02 19:17:50,0.950,0,3.20,0
2025-03-02 19:17:51,0.950,0,3.20,0
2025-03-02 19:17:52,0.950,0,3.20,0
2025-03-02 19:17:53,0.950,0,3.20,0
2025-03-02 19:17:54,0.950,0,3.20,0
2025-03-02 19:17:55,0.950,0,3.20,0
2025-03-02 19:17:56,0.950,0,3.20,0
2025-03-02 19:17:57,0.950,0,3.20,0
2025-03-02 19:17:58,0.950,0,3.20,0
2025-03-02 19:17:59,0.950,0,3.20,0
2025-03-02 19:18:00,0.950,0,3.20,0
2025-03-02 19:18:01,0.950,0,3.20,0
2025-03-02 19:18:02,0.950,0,3.20,0
2025-03-02 19:18:03,0.950,0,3.20,0
2025-03-02 19:18:04,0.950,0,3.20,0
2025-03-02 19:18:05,0.950,0,3.20,0
2025-03-02 19:18:06,0.950,0,3.20,0
2025-03-02 19:18:07,0.950,0,3.20,0
2025-03-02 19:18:08,0.950,0,3.20,0
2025-03-02 19:18:09,0.950,0,3.20,0
2025-03-02 19:18:10,0.950,0,3.20,0
