"Time","experimental-project-8457b5d6f6-25zd5 / app-namespace / PKG","experimental-project-8457b5d6f6-25zd5 / app-namespace / DRAM","experimental-project-8457b5d6f6-25zd5 / app-namespace / OTHER","experimental-project-8457b5d6f6-25zd5 / app-namespace / GPU"
2025-03-02 19:19:25,0.0460,0,0.919,0
2025-03-02 19:19:26,0.0460,0,0.919,0
2025-03-02 19:19:27,0.0460,0,0.919,0
2025-03-02 19:19:28,0.0460,0,0.919,0
2025-03-02 19:19:29,0.0460,0,0.919,0
2025-03-02 19:19:30,0.0460,0,0.919,0
2025-03-02 19:19:31,0.0460,0,0.919,0
2025-03-02 19:19:32,0.0460,0,0.919,0
2025-03-02 19:19:33,0.0460,0,0.919,0
2025-03-02 19:19:34,0.0460,0,0.919,0
2025-03-02 19:19:35,0.0460,0,0.919,0
2025-03-02 19:19:36,0.0460,0,0.919,0
2025-03-02 19:19:37,0.0460,0,0.919,0
2025-03-02 19:19:38,0.0460,0,0.919,0
2025-03-02 19:19:39,0.0460,0,0.919,0
2025-03-02 19:19:40,0.0460,0,0.919,0
2025-03-02 19:19:41,0.0460,0,0.919,0
2025-03-02 19:19:42,0.0460,0,0.919,0
2025-03-02 19:19:43,0.0460,0,0.919,0
2025-03-02 19:19:44,0.0460,0,0.919,0
2025-03-02 19:19:45,0.0460,0,0.919,0
2025-03-02 19:19:46,0.0460,0,0.919,0
2025-03-02 19:19:47,0.0460,0,0.919,0
2025-03-02 19:19:48,0.0460,0,0.919,0
2025-03-02 19:19:49,0.0460,0,0.919,0
2025-03-02 19:19:50,0.759,0,2.67,0
2025-03-02 19:19:51,0.759,0,2.67,0
2025-03-02 19:19:52,0.759,0,2.67,0
2025-03-02 19:19:53,0.759,0,2.67,0
2025-03-02 19:19:54,0.759,0,2.67,0
2025-03-02 19:19:55,0.759,0,2.67,0
2025-03-02 19:19:56,0.759,0,2.67,0
2025-03-02 19:19:57,0.759,0,2.67,0
2025-03-02 19:19:58,0.759,0,2.67,0
2025-03-02 19:19:59,0.759,0,2.67,0
2025-03-02 19:20:00,0.759,0,2.67,0
2025-03-02 19:20:01,0.759,0,2.67,0
2025-03-02 19:20:02,0.759,0,2.67,0
2025-03-02 19:20:03,0.759,0,2.67,0
2025-03-02 19:20:04,0.759,0,2.67,0
2025-03-02 19:20:05,0.759,0,2.67,0
2025-03-02 19:20:06,0.759,0,2.67,0
2025-03-02 19:20:07,0.759,0,2.67,0
2025-03-02 19:20:08,0.759,0,2.67,0
2025-03-02 19:20:09,0.759,0,2.67,0
2025-03-02 19:20:10,0.759,0,2.67,0
2025-03-02 19:20:11,0.759,0,2.67,0
2025-03-02 19:20:12,0.759,0,2.67,0
2025-03-02 19:20:13,0.759,0,2.67,0
2025-03-02 19:20:14,0.759,0,2.67,0
2025-03-02 19:20:15,0.759,0,2.67,0
2025-03-02 19:20:16,0.759,0,2.67,0
2025-03-02 19:20:17,0.759,0,2.67,0
2025-03-02 19:20:18,0.759,0,2.67,0
2025-03-02 19:20:19,0.759,0,2.67,0
2025-03-02 19:20:20,0.977,0,2.84,0
2025-03-02 19:20:21,0.977,0,2.84,0
2025-03-02 19:20:22,0.977,0,2.84,0
2025-03-02 19:20:23,0.977,0,2.84,0
2025-03-02 19:20:24,0.977,0,2.84,0
2025-03-02 19:20:25,0.977,0,2.84,0
2025-03-02 19:20:26,0.977,0,2.84,0
2025-03-02 19:20:27,0.977,0,2.84,0
2025-03-02 19:20:28,0.977,0,2.84,0
2025-03-02 19:20:29,0.977,0,2.84,0
2025-03-02 19:20:30,0.977,0,2.84,0
2025-03-02 19:20:31,0.977,0,2.84,0
2025-03-02 19:20:32,0.977,0,2.84,0
2025-03-02 19:20:33,0.977,0,2.84,0
2025-03-02 19:20:34,0.977,0,2.84,0
2025-03-02 19:20:35,0.977,0,2.84,0
2025-03-02 19:20:36,0.977,0,2.84,0
2025-03-02 19:20:37,0.977,0,2.84,0
2025-03-02 19:20:38,0.977,0,2.84,0
2025-03-02 19:20:39,0.977,0,2.84,0
2025-03-02 19:20:40,0.977,0,2.84,0
2025-03-02 19:20:41,0.977,0,2.84,0
2025-03-02 19:20:42,0.977,0,2.84,0
2025-03-02 19:20:43,0.977,0,2.84,0
2025-03-02 19:20:44,0.977,0,2.84,0
