metric_name,timestamp,metric_value,check,error,error_code,expected_response,group,method,name,proto,scenario,service,status,subproto,tls_version,url,extra_tags,metadata
http_reqs,1749657339,1.000000,,,,true,,GET,http://localhost:8081/users/1,HTTP/1.1,default,,200,,,http://localhost:8081/users/1,,
http_req_duration,1749657339,9.968163,,,,true,,GET,http://localhost:8081/users/1,HTTP/1.1,default,,200,,,http://localhost:8081/users/1,,
http_req_blocked,1749657339,0.406436,,,,true,,GET,http://localhost:8081/users/1,HTTP/1.1,default,,200,,,http://localhost:8081/users/1,,
http_req_connecting,1749657339,0.287331,,,,true,,GET,http://localhost:8081/users/1,HTTP/1.1,default,,200,,,http://localhost:8081/users/1,,
http_req_tls_handshaking,1749657339,0.000000,,,,true,,GET,http://localhost:8081/users/1,HTTP/1.1,default,,200,,,http://localhost:8081/users/1,,
http_req_sending,1749657339,0.088102,,,,true,,GET,http://localhost:8081/users/1,HTTP/1.1,default,,200,,,http://localhost:8081/users/1,,
http_req_waiting,1749657339,9.773778,,,,true,,GET,http://localhost:8081/users/1,HTTP/1.1,default,,200,,,http://localhost:8081/users/1,,
http_req_receiving,1749657339,0.106283,,,,true,,GET,http://localhost:8081/users/1,HTTP/1.1,default,,200,,,http://localhost:8081/users/1,,
http_req_failed,1749657339,0.000000,,,,true,,GET,http://localhost:8081/users/1,HTTP/1.1,default,,200,,,http://localhost:8081/users/1,,
response_time,1749657339,9.968163,,,,,,,,,default,,,,,,,
reponse_size_body,1749657339,44.000000,,,,,,,,,default,,,,,,,
response_size,1749657339,544.000000,,,,,,,,,default,,,,,,,
checks,1749657339,1.000000,is status 200,,,,,,,,default,,,,,,,
data_sent,1749657339,378.000000,,,,,,,,,default,,,,,,,
data_received,1749657339,587.000000,,,,,,,,,default,,,,,,,
iteration_duration,1749657339,10.862032,,,,,,,,,default,,,,,,,
iterations,1749657339,1.000000,,,,,,,,,default,,,,,,,
http_reqs,1749657339,1.000000,,,,true,,GET,http://localhost:8081/users/1,HTTP/1.1,default,,200,,,http://localhost:8081/users/1,,
http_req_duration,1749657339,2.196732,,,,true,,GET,http://localhost:8081/users/1,HTTP/1.1,default,,200,,,http://localhost:8081/users/1,,
http_req_blocked,1749657339,0.007238,,,,true,,GET,http://localhost:8081/users/1,HTTP/1.1,default,,200,,,http://localhost:8081/users/1,,
http_req_connecting,1749657339,0.000000,,,,true,,GET,http://localhost:8081/users/1,HTTP/1.1,default,,200,,,http://localhost:8081/users/1,,
http_req_tls_handshaking,1749657339,0.000000,,,,true,,GET,http://localhost:8081/users/1,HTTP/1.1,default,,200,,,http://localhost:8081/users/1,,
http_req_sending,1749657339,0.019864,,,,true,,GET,http://localhost:8081/users/1,HTTP/1.1,default,,200,,,http://localhost:8081/users/1,,
http_req_waiting,1749657339,2.095361,,,,true,,GET,http://localhost:8081/users/1,HTTP/1.1,default,,200,,,http://localhost:8081/users/1,,
http_req_receiving,1749657339,0.081507,,,,true,,GET,http://localhost:8081/users/1,HTTP/1.1,default,,200,,,http://localhost:8081/users/1,,
http_req_failed,1749657339,0.000000,,,,true,,GET,http://localhost:8081/users/1,HTTP/1.1,default,,200,,,http://localhost:8081/users/1,,
response_time,1749657339,2.196732,,,,,,,,,default,,,,,,,
reponse_size_body,1749657339,44.000000,,,,,,,,,default,,,,,,,
response_size,1749657339,544.000000,,,,,,,,,default,,,,,,,
checks,1749657339,1.000000,is status 200,,,,,,,,default,,,,,,,
data_sent,1749657339,378.000000,,,,,,,,,default,,,,,,,
data_received,1749657339,587.000000,,,,,,,,,default,,,,,,,
iteration_duration,1749657339,2.440889,,,,,,,,,default,,,,,,,
iterations,1749657339,1.000000,,,,,,,,,default,,,,,,,
http_reqs,1749657339,1.000000,,,,true,,GET,http://localhost:8081/users/1,HTTP/1.1,default,,200,,,http://localhost:8081/users/1,,
http_req_duration,1749657339,1.900515,,,,true,,GET,http://localhost:8081/users/1,HTTP/1.1,default,,200,,,http://localhost:8081/users/1,,
http_req_blocked,1749657339,0.005048,,,,true,,GET,http://localhost:8081/users/1,HTTP/1.1,default,,200,,,http://localhost:8081/users/1,,
http_req_connecting,1749657339,0.000000,,,,true,,GET,http://localhost:8081/users/1,HTTP/1.1,default,,200,,,http://localhost:8081/users/1,,
http_req_tls_handshaking,1749657339,0.000000,,,,true,,GET,http://localhost:8081/users/1,HTTP/1.1,default,,200,,,http://localhost:8081/users/1,,
http_req_sending,1749657339,0.019715,,,,true,,GET,http://localhost:8081/users/1,HTTP/1.1,default,,200,,,http://localhost:8081/users/1,,
http_req_waiting,1749657339,1.818843,,,,true,,GET,http://localhost:8081/users/1,HTTP/1.1,default,,200,,,http://localhost:8081/users/1,,
http_req_receiving,1749657339,0.061957,,,,true,,GET,http://localhost:8081/users/1,HTTP/1.1,default,,200,,,http://localhost:8081/users/1,,
http_req_failed,1749657339,0.000000,,,,true,,GET,http://localhost:8081/users/1,HTTP/1.1,default,,200,,,http://localhost:8081/users/1,,
response_time,1749657339,1.900515,,,,,,,,,default,,,,,,,
reponse_size_body,1749657339,44.000000,,,,,,,,,default,,,,,,,
response_size,1749657339,544.000000,,,,,,,,,default,,,,,,,
checks,1749657339,1.000000,is status 200,,,,,,,,default,,,,,,,
data_sent,1749657339,378.000000,,,,,,,,,default,,,,,,,
data_received,1749657339,587.000000,,,,,,,,,default,,,,,,,
iteration_duration,1749657339,2.131336,,,,,,,,,default,,,,,,,
iterations,1749657339,1.000000,,,,,,,,,default,,,,,,,
http_reqs,1749657339,1.000000,,,,true,,GET,http://localhost:8081/users/1,HTTP/1.1,default,,200,,,http://localhost:8081/users/1,,
http_req_duration,1749657339,1.606464,,,,true,,GET,http://localhost:8081/users/1,HTTP/1.1,default,,200,,,http://localhost:8081/users/1,,
http_req_blocked,1749657339,0.004257,,,,true,,GET,http://localhost:8081/users/1,HTTP/1.1,default,,200,,,http://localhost:8081/users/1,,
http_req_connecting,1749657339,0.000000,,,,true,,GET,http://localhost:8081/users/1,HTTP/1.1,default,,200,,,http://localhost:8081/users/1,,
http_req_tls_handshaking,1749657339,0.000000,,,,true,,GET,http://localhost:8081/users/1,HTTP/1.1,default,,200,,,http://localhost:8081/users/1,,
http_req_sending,1749657339,0.017196,,,,true,,GET,http://localhost:8081/users/1,HTTP/1.1,default,,200,,,http://localhost:8081/users/1,,
http_req_waiting,1749657339,1.486541,,,,true,,GET,http://localhost:8081/users/1,HTTP/1.1,default,,200,,,http://localhost:8081/users/1,,
http_req_receiving,1749657339,0.102727,,,,true,,GET,http://localhost:8081/users/1,HTTP/1.1,default,,200,,,http://localhost:8081/users/1,,
http_req_failed,1749657339,0.000000,,,,true,,GET,http://localhost:8081/users/1,HTTP/1.1,default,,200,,,http://localhost:8081/users/1,,
response_time,1749657339,1.606464,,,,,,,,,default,,,,,,,
reponse_size_body,1749657339,44.000000,,,,,,,,,default,,,,,,,
response_size,1749657339,544.000000,,,,,,,,,default,,,,,,,
checks,1749657339,1.000000,is status 200,,,,,,,,default,,,,,,,
data_sent,1749657339,378.000000,,,,,,,,,default,,,,,,,
data_received,1749657339,587.000000,,,,,,,,,default,,,,,,,
iteration_duration,1749657339,1.837687,,,,,,,,,default,,,,,,,
iterations,1749657339,1.000000,,,,,,,,,default,,,,,,,
http_reqs,1749657339,1.000000,,,,true,,GET,http://localhost:8081/users/1,HTTP/1.1,default,,200,,,http://localhost:8081/users/1,,
http_req_duration,1749657339,1.687529,,,,true,,GET,http://localhost:8081/users/1,HTTP/1.1,default,,200,,,http://localhost:8081/users/1,,
http_req_blocked,1749657339,0.004772,,,,true,,GET,http://localhost:8081/users/1,HTTP/1.1,default,,200,,,http://localhost:8081/users/1,,
http_req_connecting,1749657339,0.000000,,,,true,,GET,http://localhost:8081/users/1,HTTP/1.1,default,,200,,,http://localhost:8081/users/1,,
http_req_tls_handshaking,1749657339,0.000000,,,,true,,GET,http://localhost:8081/users/1,HTTP/1.1,default,,200,,,http://localhost:8081/users/1,,
http_req_sending,1749657339,0.019694,,,,true,,GET,http://localhost:8081/users/1,HTTP/1.1,default,,200,,,http://localhost:8081/users/1,,
http_req_waiting,1749657339,1.600372,,,,true,,GET,http://localhost:8081/users/1,HTTP/1.1,default,,200,,,http://localhost:8081/users/1,,
http_req_receiving,1749657339,0.067463,,,,true,,GET,http://localhost:8081/users/1,HTTP/1.1,default,,200,,,http://localhost:8081/users/1,,
http_req_failed,1749657339,0.000000,,,,true,,GET,http://localhost:8081/users/1,HTTP/1.1,default,,200,,,http://localhost:8081/users/1,,
response_time,1749657339,1.687529,,,,,,,,,default,,,,,,,
reponse_size_body,1749657339,44.000000,,,,,,,,,default,,,,,,,
response_size,1749657339,544.000000,,,,,,,,,default,,,,,,,
checks,1749657339,1.000000,is status 200,,,,,,,,default,,,,,,,
data_sent,1749657339,378.000000,,,,,,,,,default,,,,,,,
data_received,1749657339,587.000000,,,,,,,,,default,,,,,,,
iteration_duration,1749657339,1.929632,,,,,,,,,default,,,,,,,
iterations,1749657339,1.000000,,,,,,,,,default,,,,,,,
http_reqs,1749657339,1.000000,,,,true,,GET,http://localhost:8081/users/1,HTTP/1.1,default,,200,,,http://localhost:8081/users/1,,
http_req_duration,1749657339,1.893175,,,,true,,GET,http://localhost:8081/users/1,HTTP/1.1,default,,200,,,http://localhost:8081/users/1,,
