metric_name,timestamp,metric_value,check,error,error_code,expected_response,group,method,name,proto,scenario,service,status,subproto,tls_version,url,extra_tags,metadata
http_reqs,1749516357,1.000000,,,,true,,PUT,http://localhost:8081/users/3401,HTTP/1.1,default,,200,,,http://localhost:8081/users/3401,,
http_req_duration,1749516357,30.741106,,,,true,,PUT,http://localhost:8081/users/3401,HTTP/1.1,default,,200,,,http://localhost:8081/users/3401,,
http_req_blocked,1749516357,0.358626,,,,true,,PUT,http://localhost:8081/users/3401,HTTP/1.1,default,,200,,,http://localhost:8081/users/3401,,
http_req_connecting,1749516357,0.234942,,,,true,,PUT,http://localhost:8081/users/3401,HTTP/1.1,default,,200,,,http://localhost:8081/users/3401,,
http_req_tls_handshaking,1749516357,0.000000,,,,true,,PUT,http://localhost:8081/users/3401,HTTP/1.1,default,,200,,,http://localhost:8081/users/3401,,
http_req_sending,1749516357,0.180284,,,,true,,PUT,http://localhost:8081/users/3401,HTTP/1.1,default,,200,,,http://localhost:8081/users/3401,,
http_req_waiting,1749516357,30.442897,,,,true,,PUT,http://localhost:8081/users/3401,HTTP/1.1,default,,200,,,http://localhost:8081/users/3401,,
http_req_receiving,1749516357,0.117925,,,,true,,PUT,http://localhost:8081/users/3401,HTTP/1.1,default,,200,,,http://localhost:8081/users/3401,,
http_req_failed,1749516357,0.000000,,,,true,,PUT,http://localhost:8081/users/3401,HTTP/1.1,default,,200,,,http://localhost:8081/users/3401,,
response_time,1749516357,30.741106,,,,,,,,,default,,,,,,,
reponse_size,1749516357,97.000000,,,,,,,,,default,,,,,,,
checks,1749516357,1.000000,status is 200,,,,,,,,default,,,,,,,
data_sent,1749516357,475.000000,,,,,,,,,default,,,,,,,
data_received,1749516357,640.000000,,,,,,,,,default,,,,,,,
iteration_duration,1749516357,31.960547,,,,,,,,,default,,,,,,,
iterations,1749516357,1.000000,,,,,,,,,default,,,,,,,
http_reqs,1749516357,1.000000,,,,true,,PUT,http://localhost:8081/users/3402,HTTP/1.1,default,,200,,,http://localhost:8081/users/3402,,
http_req_duration,1749516357,10.532866,,,,true,,PUT,http://localhost:8081/users/3402,HTTP/1.1,default,,200,,,http://localhost:8081/users/3402,,
