metric_name,timestamp,metric_value,check,error,error_code,expected_response,group,method,name,proto,scenario,service,status,subproto,tls_version,url,extra_tags,metadata
http_reqs,1749905914,1.000000,,,,true,,DELETE,http://localhost:8082/users/2401,HTTP/1.1,default,,200,,,http://localhost:8082/users/2401,,
http_req_duration,1749905914,27.513940,,,,true,,DELETE,http://localhost:8082/users/2401,HTTP/1.1,default,,200,,,http://localhost:8082/users/2401,,
http_req_blocked,1749905914,0.498357,,,,true,,DELETE,http://localhost:8082/users/2401,HTTP/1.1,default,,200,,,http://localhost:8082/users/2401,,
http_req_connecting,1749905914,0.359317,,,,true,,DELETE,http://localhost:8082/users/2401,HTTP/1.1,default,,200,,,http://localhost:8082/users/2401,,
http_req_tls_handshaking,1749905914,0.000000,,,,true,,DELETE,http://localhost:8082/users/2401,HTTP/1.1,default,,200,,,http://localhost:8082/users/2401,,
http_req_sending,1749905914,0.101992,,,,true,,DELETE,http://localhost:8082/users/2401,HTTP/1.1,default,,200,,,http://localhost:8082/users/2401,,
http_req_waiting,1749905914,27.311017,,,,true,,DELETE,http://localhost:8082/users/2401,HTTP/1.1,default,,200,,,http://localhost:8082/users/2401,,
http_req_receiving,1749905914,0.100931,,,,true,,DELETE,http://localhost:8082/users/2401,HTTP/1.1,default,,200,,,http://localhost:8082/users/2401,,
http_req_failed,1749905914,0.000000,,,,true,,DELETE,http://localhost:8082/users/2401,HTTP/1.1,default,,200,,,http://localhost:8082/users/2401,,
response_time,1749905914,27.513940,,,,,,,,,default,,,,,,,
reponse_size,1749905914,206.000000,,,,,,,,,default,,,,,,,
checks,1749905914,1.000000,is status 200,,,,,,,,default,,,,,,,
data_sent,1749905914,378.000000,,,,,,,,,default,,,,,,,
data_received,1749905914,658.000000,,,,,,,,,default,,,,,,,
iteration_duration,1749905914,28.486249,,,,,,,,,default,,,,,,,
iterations,1749905914,1.000000,,,,,,,,,default,,,,,,,
http_reqs,1749905914,1.000000,,,,true,,DELETE,http://localhost:8082/users/2402,HTTP/1.1,default,,200,,,http://localhost:8082/users/2402,,
http_req_duration,1749905914,17.930914,,,,true,,DELETE,http://localhost:8082/users/2402,HTTP/1.1,default,,200,,,http://localhost:8082/users/2402,,
http_req_blocked,1749905914,0.003917,,,,true,,DELETE,http://localhost:8082/users/2402,HTTP/1.1,default,,200,,,http://localhost:8082/users/2402,,
http_req_connecting,1749905914,0.000000,,,,true,,DELETE,http://localhost:8082/users/2402,HTTP/1.1,default,,200,,,http://localhost:8082/users/2402,,
http_req_tls_handshaking,1749905914,0.000000,,,,true,,DELETE,http://localhost:8082/users/2402,HTTP/1.1,default,,200,,,http://localhost:8082/users/2402,,
http_req_sending,1749905914,0.018417,,,,true,,DELETE,http://localhost:8082/users/2402,HTTP/1.1,default,,200,,,http://localhost:8082/users/2402,,
http_req_waiting,1749905914,17.787320,,,,true,,DELETE,http://localhost:8082/users/2402,HTTP/1.1,default,,200,,,http://localhost:8082/users/2402,,
http_req_receiving,1749905914,0.125177,,,,true,,DELETE,http://localhost:8082/users/2402,HTTP/1.1,default,,200,,,http://localhost:8082/users/2402,,
http_req_failed,1749905914,0.000000,,,,true,,DELETE,http://localhost:8082/users/2402,HTTP/1.1,default,,200,,,http://localhost:8082/users/2402,,
response_time,1749905914,17.930914,,,,,,,,,default,,,,,,,
reponse_size,1749905914,206.000000,,,,,,,,,default,,,,,,,
checks,1749905914,1.000000,is status 200,,,,,,,,default,,,,,,,
data_sent,1749905914,378.000000,,,,,,,,,default,,,,,,,
data_received,1749905914,658.000000,,,,,,,,,default,,,,,,,
iteration_duration,1749905914,18.135253,,,,,,,,,default,,,,,,,
iterations,1749905914,1.000000,,,,,,,,,default,,,,,,,
http_reqs,1749905914,1.000000,,,,true,,DELETE,http://localhost:8082/users/2403,HTTP/1.1,default,,200,,,http://localhost:8082/users/2403,,
http_req_duration,1749905914,14.578903,,,,true,,DELETE,http://localhost:8082/users/2403,HTTP/1.1,default,,200,,,http://localhost:8082/users/2403,,
http_req_blocked,1749905914,0.005077,,,,true,,DELETE,http://localhost:8082/users/2403,HTTP/1.1,default,,200,,,http://localhost:8082/users/2403,,
http_req_connecting,1749905914,0.000000,,,,true,,DELETE,http://localhost:8082/users/2403,HTTP/1.1,default,,200,,,http://localhost:8082/users/2403,,
http_req_tls_handshaking,1749905914,0.000000,,,,true,,DELETE,http://localhost:8082/users/2403,HTTP/1.1,default,,200,,,http://localhost:8082/users/2403,,
http_req_sending,1749905914,0.021974,,,,true,,DELETE,http://localhost:8082/users/2403,HTTP/1.1,default,,200,,,http://localhost:8082/users/2403,,
http_req_waiting,1749905914,14.457155,,,,true,,DELETE,http://localhost:8082/users/2403,HTTP/1.1,default,,200,,,http://localhost:8082/users/2403,,
http_req_receiving,1749905914,0.099774,,,,true,,DELETE,http://localhost:8082/users/2403,HTTP/1.1,default,,200,,,http://localhost:8082/users/2403,,
http_req_failed,1749905914,0.000000,,,,true,,DELETE,http://localhost:8082/users/2403,HTTP/1.1,default,,200,,,http://localhost:8082/users/2403,,
response_time,1749905914,14.578903,,,,,,,,,default,,,,,,,
reponse_size,1749905914,206.000000,,,,,,,,,default,,,,,,,
checks,1749905914,1.000000,is status 200,,,,,,,,default,,,,,,,
data_sent,1749905914,378.000000,,,,,,,,,default,,,,,,,
data_received,1749905914,658.000000,,,,,,,,,default,,,,,,,
iteration_duration,1749905914,14.777447,,,,,,,,,default,,,,,,,
iterations,1749905914,1.000000,,,,,,,,,default,,,,,,,
http_reqs,1749905914,1.000000,,,,true,,DELETE,http://localhost:8082/users/2404,HTTP/1.1,default,,200,,,http://localhost:8082/users/2404,,
http_req_duration,1749905914,14.898981,,,,true,,DELETE,http://localhost:8082/users/2404,HTTP/1.1,default,,200,,,http://localhost:8082/users/2404,,
http_req_blocked,1749905914,0.004524,,,,true,,DELETE,http://localhost:8082/users/2404,HTTP/1.1,default,,200,,,http://localhost:8082/users/2404,,
http_req_connecting,1749905914,0.000000,,,,true,,DELETE,http://localhost:8082/users/2404,HTTP/1.1,default,,200,,,http://localhost:8082/users/2404,,
http_req_tls_handshaking,1749905914,0.000000,,,,true,,DELETE,http://localhost:8082/users/2404,HTTP/1.1,default,,200,,,http://localhost:8082/users/2404,,
http_req_sending,1749905914,0.015540,,,,true,,DELETE,http://localhost:8082/users/2404,HTTP/1.1,default,,200,,,http://localhost:8082/users/2404,,
http_req_waiting,1749905914,14.808542,,,,true,,DELETE,http://localhost:8082/users/2404,HTTP/1.1,default,,200,,,http://localhost:8082/users/2404,,
http_req_receiving,1749905914,0.074899,,,,true,,DELETE,http://localhost:8082/users/2404,HTTP/1.1,default,,200,,,http://localhost:8082/users/2404,,
http_req_failed,1749905914,0.000000,,,,true,,DELETE,http://localhost:8082/users/2404,HTTP/1.1,default,,200,,,http://localhost:8082/users/2404,,
response_time,1749905914,14.898981,,,,,,,,,default,,,,,,,
reponse_size,1749905914,206.000000,,,,,,,,,default,,,,,,,
checks,1749905914,1.000000,is status 200,,,,,,,,default,,,,,,,
data_sent,1749905914,378.000000,,,,,,,,,default,,,,,,,
data_received,1749905914,664.000000,,,,,,,,,default,,,,,,,
iteration_duration,1749905914,15.128676,,,,,,,,,default,,,,,,,
iterations,1749905914,1.000000,,,,,,,,,default,,,,,,,
http_reqs,1749905914,1.000000,,,,true,,DELETE,http://localhost:8082/users/2405,HTTP/1.1,default,,200,,,http://localhost:8082/users/2405,,
http_req_duration,1749905914,14.553613,,,,true,,DELETE,http://localhost:8082/users/2405,HTTP/1.1,default,,200,,,http://localhost:8082/users/2405,,
http_req_blocked,1749905914,0.004775,,,,true,,DELETE,http://localhost:8082/users/2405,HTTP/1.1,default,,200,,,http://localhost:8082/users/2405,,
http_req_connecting,1749905914,0.000000,,,,true,,DELETE,http://localhost:8082/users/2405,HTTP/1.1,default,,200,,,http://localhost:8082/users/2405,,
http_req_tls_handshaking,1749905914,0.000000,,,,true,,DELETE,http://localhost:8082/users/2405,HTTP/1.1,default,,200,,,http://localhost:8082/users/2405,,
http_req_sending,1749905914,0.020100,,,,true,,DELETE,http://localhost:8082/users/2405,HTTP/1.1,default,,200,,,http://localhost:8082/users/2405,,
http_req_waiting,1749905914,14.410026,,,,true,,DELETE,http://localhost:8082/users/2405,HTTP/1.1,default,,200,,,http://localhost:8082/users/2405,,
http_req_receiving,1749905914,0.123487,,,,true,,DELETE,http://localhost:8082/users/2405,HTTP/1.1,default,,200,,,http://localhost:8082/users/2405,,
http_req_failed,1749905914,0.000000,,,,true,,DELETE,http://localhost:8082/users/2405,HTTP/1.1,default,,200,,,http://localhost:8082/users/2405,,
response_time,1749905914,14.553613,,,,,,,,,default,,,,,,,
