metric_name,timestamp,metric_value,check,error,error_code,expected_response,group,method,name,proto,scenario,service,status,subproto,tls_version,url,extra_tags,metadata
http_reqs,1749925095,1.000000,,,,true,,DELETE,http://localhost:8082/users/4401,HTTP/1.1,default,,200,,,http://localhost:8082/users/4401,,
http_req_duration,1749925095,25.097958,,,,true,,DELETE,http://localhost:8082/users/4401,HTTP/1.1,default,,200,,,http://localhost:8082/users/4401,,
http_req_blocked,1749925095,0.486735,,,,true,,DELETE,http://localhost:8082/users/4401,HTTP/1.1,default,,200,,,http://localhost:8082/users/4401,,
http_req_connecting,1749925095,0.350390,,,,true,,DELETE,http://localhost:8082/users/4401,HTTP/1.1,default,,200,,,http://localhost:8082/users/4401,,
http_req_tls_handshaking,1749925095,0.000000,,,,true,,DELETE,http://localhost:8082/users/4401,HTTP/1.1,default,,200,,,http://localhost:8082/users/4401,,
http_req_sending,1749925095,0.163876,,,,true,,DELETE,http://localhost:8082/users/4401,HTTP/1.1,default,,200,,,http://localhost:8082/users/4401,,
http_req_waiting,1749925095,24.823787,,,,true,,DELETE,http://localhost:8082/users/4401,HTTP/1.1,default,,200,,,http://localhost:8082/users/4401,,
http_req_receiving,1749925095,0.110295,,,,true,,DELETE,http://localhost:8082/users/4401,HTTP/1.1,default,,200,,,http://localhost:8082/users/4401,,
http_req_failed,1749925095,0.000000,,,,true,,DELETE,http://localhost:8082/users/4401,HTTP/1.1,default,,200,,,http://localhost:8082/users/4401,,
response_time,1749925095,25.097958,,,,,,,,,default,,,,,,,
reponse_size,1749925095,97.000000,,,,,,,,,default,,,,,,,
checks,1749925095,1.000000,is status 200,,,,,,,,default,,,,,,,
data_sent,1749925095,384.000000,,,,,,,,,default,,,,,,,
data_received,1749925095,683.000000,,,,,,,,,default,,,,,,,
iteration_duration,1749925095,26.042740,,,,,,,,,default,,,,,,,
iterations,1749925095,1.000000,,,,,,,,,default,,,,,,,
http_reqs,1749925095,1.000000,,,,true,,DELETE,http://localhost:8082/users/4402,HTTP/1.1,default,,200,,,http://localhost:8082/users/4402,,
http_req_duration,1749925095,14.455198,,,,true,,DELETE,http://localhost:8082/users/4402,HTTP/1.1,default,,200,,,http://localhost:8082/users/4402,,
http_req_blocked,1749925095,0.003494,,,,true,,DELETE,http://localhost:8082/users/4402,HTTP/1.1,default,,200,,,http://localhost:8082/users/4402,,
http_req_connecting,1749925095,0.000000,,,,true,,DELETE,http://localhost:8082/users/4402,HTTP/1.1,default,,200,,,http://localhost:8082/users/4402,,
http_req_tls_handshaking,1749925095,0.000000,,,,true,,DELETE,http://localhost:8082/users/4402,HTTP/1.1,default,,200,,,http://localhost:8082/users/4402,,
http_req_sending,1749925095,0.015788,,,,true,,DELETE,http://localhost:8082/users/4402,HTTP/1.1,default,,200,,,http://localhost:8082/users/4402,,
http_req_waiting,1749925095,14.347860,,,,true,,DELETE,http://localhost:8082/users/4402,HTTP/1.1,default,,200,,,http://localhost:8082/users/4402,,
http_req_receiving,1749925095,0.091550,,,,true,,DELETE,http://localhost:8082/users/4402,HTTP/1.1,default,,200,,,http://localhost:8082/users/4402,,
